municipality,group,variable,month,Partos atendidos por proveedor calificado,TOTAL
ACACIO,atencion de partos en servicios,partos atendidos por proveedor calificado,2021-01-01,3,3
ACHACACHI,atencion de partos en servicios,partos atendidos por proveedor calificado,2021-01-01,35,35
ACHOCALLA,atencion de partos en servicios,partos atendidos por proveedor calificado,2021-01-01,6,6
AIQUILE,atencion de partos en servicios,partos atendidos por proveedor calificado,2021-01-01,27,27
ALCALA,atencion de partos en servicios,partos atendidos por proveedor calificado,2021-01-01,1,1
ALTO BENI,atencion de partos en servicios,partos atendidos por proveedor calificado,2021-01-01,3,3
ANDAMARCA,atencion de partos en servicios,partos atendidos por proveedor calificado,2021-01-01,4,4
ANZALDO,atencion de partos en servicios,partos atendidos por proveedor calificado,2021-01-01,2,2
APOLO,atencion de partos en servicios,partos atendidos por proveedor calificado,2021-01-01,11,11
ARANI,atencion de partos en servicios,partos atendidos por proveedor calificado,2021-01-01,4,4
ARBIETO,atencion de partos en servicios,partos atendidos por proveedor calificado,2021-01-01,9,9
ARQUE,atencion de partos en servicios,partos atendidos por proveedor calificado,2021-01-01,1,1
ATOCHA,atencion de partos en servicios,partos atendidos por proveedor calificado,2021-01-01,4,4
AYATA,atencion de partos en servicios,partos atendidos por proveedor calificado,2021-01-01,1,1
AYO AYO,atencion de partos en servicios,partos atendidos por proveedor calificado,2021-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,partos atendidos por proveedor calificado,2021-01-01,18,18
AZURDUY,atencion de partos en servicios,partos atendidos por proveedor calificado,2021-01-01,11,11
BATALLAS,atencion de partos en servicios,partos atendidos por proveedor calificado,2021-01-01,1,1
BERMEJO,atencion de partos en servicios,partos atendidos por proveedor calificado,2021-01-01,46,46
BETANZOS,atencion de partos en servicios,partos atendidos por proveedor calificado,2021-01-01,14,14
BOYUIBE,atencion de partos en servicios,partos atendidos por proveedor calificado,2021-01-01,2,2
CABEZAS,atencion de partos en servicios,partos atendidos por proveedor calificado,2021-01-01,13,13
CAIROMA,atencion de partos en servicios,partos atendidos por proveedor calificado,2021-01-01,3,3
"CAIZA ""D""",atencion de partos en servicios,partos atendidos por proveedor calificado,2021-01-01,6,6
CAJUATA,atencion de partos en servicios,partos atendidos por proveedor calificado,2021-01-01,18,18
CALACOTO,atencion de partos en servicios,partos atendidos por proveedor calificado,2021-01-01,1,1
CALAMARCA,atencion de partos en servicios,partos atendidos por proveedor calificado,2021-01-01,4,4
CAMARGO,atencion de partos en servicios,partos atendidos por proveedor calificado,2021-01-01,14,14
CAMIRI,atencion de partos en servicios,partos atendidos por proveedor calificado,2021-01-01,38,38
CAPINOTA,atencion de partos en servicios,partos atendidos por proveedor calificado,2021-01-01,9,9
CAQUIAVIRI,atencion de partos en servicios,partos atendidos por proveedor calificado,2021-01-01,1,1
CARACOLLO,atencion de partos en servicios,partos atendidos por proveedor calificado,2021-01-01,11,11
CARANAVI,atencion de partos en servicios,partos atendidos por proveedor calificado,2021-01-01,70,70
CARAPARI,atencion de partos en servicios,partos atendidos por proveedor calificado,2021-01-01,1,1
CHALLAPATA,atencion de partos en servicios,partos atendidos por proveedor calificado,2021-01-01,35,35
CHAQUI,atencion de partos en servicios,partos atendidos por proveedor calificado,2021-01-01,3,3
CHARAGUA,atencion de partos en servicios,partos atendidos por proveedor calificado,2021-01-01,15,15
CHAYANTA,atencion de partos en servicios,partos atendidos por proveedor calificado,2021-01-01,6,6
CHIMORE,atencion de partos en servicios,partos atendidos por proveedor calificado,2021-01-01,24,24
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,partos atendidos por proveedor calificado,2021-01-01,12,12
CHUMA,atencion de partos en servicios,partos atendidos por proveedor calificado,2021-01-01,1,1
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en servicios,partos atendidos por proveedor calificado,2021-01-01,8,8
CKOCHAS,atencion de partos en servicios,partos atendidos por proveedor calificado,2021-01-01,7,7
CLIZA,atencion de partos en servicios,partos atendidos por proveedor calificado,2021-01-01,35,35
COBIJA,atencion de partos en servicios,partos atendidos por proveedor calificado,2021-01-01,94,94
COCAPATA,atencion de partos en servicios,partos atendidos por proveedor calificado,2021-01-01,4,4
COCHABAMBA,atencion de partos en servicios,partos atendidos por proveedor calificado,2021-01-01,1066,1066
