municipality,group,variable,month,RN con corte tardío de Cordón Umbilical,TOTAL
ACACIO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2021-01-01,3,3
BOYUIBE,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2021-01-01,2,2
"CAIZA ""D""",atencion de partos en servicios,rn con corte tardio de cordon umbilical,2021-01-01,6,6
CARIPUYO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2021-01-01,1,1
CHALLAPATA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2021-01-01,3,3
CHAQUI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2021-01-01,3,3
CHAYANTA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2021-01-01,1,1
"COLCHA ""K""",atencion de partos en servicios,rn con corte tardio de cordon umbilical,2021-01-01,2,2
COROICO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2021-01-01,10,10
COTAGAITA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2021-01-01,1,1
CULPINA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2021-01-01,13,13
EL ALTO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2021-01-01,4,4
HUACAYA (VILLA DE HUACAYA),atencion de partos en servicios,rn con corte tardio de cordon umbilical,2021-01-01,2,2
HUACHACALLA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2021-01-01,1,1
HUANUNI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2021-01-01,9,9
ICLA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2021-01-01,5,5
INCAHUASI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2021-01-01,1,1
LAS CARRERAS,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2021-01-01,1,1
LORETO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2021-01-01,1,1
MACHARETI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2021-01-01,6,6
OCURI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2021-01-01,5,5
PADILLA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2021-01-01,5,5
PAMPA AULLAGAS,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2021-01-01,1,1
PORCO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2021-01-01,8,8
POROMA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2021-01-01,6,6
POTOSI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2021-01-01,4,4
PRESTO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2021-01-01,3,3
SABAYA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2021-01-01,1,1
SACABA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2021-01-01,1,1
SACACA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2021-01-01,1,1
SAN BORJA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2021-01-01,3,3
SAN JAVIER(BNI),atencion de partos en servicios,rn con corte tardio de cordon umbilical,2021-01-01,2,2
SAN JULIAN,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2021-01-01,43,43
SAN LORENZO(PND),atencion de partos en servicios,rn con corte tardio de cordon umbilical,2021-01-01,1,1
SAN LUCAS,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2021-01-01,26,26
SAN MATIAS,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2021-01-01,13,13
SAN MIGUEL DE VELASCO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2021-01-01,15,15
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2021-01-01,53,53
SANTUARIO DE QUILLACAS,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2021-01-01,4,4
SENA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2021-01-01,10,10
SOPACHUY,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2021-01-01,1,1
SUCRE,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2021-01-01,2,2
TARABUCO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2021-01-01,10,10
TOMAVE,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2021-01-01,2,2
TOMINA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2021-01-01,6,6
TORO TORO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2021-01-01,11,11
TUPIZA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2021-01-01,38,38
VILLA SERRANO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2021-01-01,3,3
VITICHI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2021-01-01,5,5
YAMPARAEZ,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2021-01-01,7,7
ZUDAÑEZ,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2021-01-01,7,7
