municipality,group,variable,month,RN con malformación congénita,TOTAL
AYATA,atencion de partos en servicios,rn con malformacion congenita,2021-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,rn con malformacion congenita,2021-01-01,1,1
CAMIRI,atencion de partos en servicios,rn con malformacion congenita,2021-01-01,1,1
CARANAVI,atencion de partos en servicios,rn con malformacion congenita,2021-01-01,1,1
CKOCHAS,atencion de partos en servicios,rn con malformacion congenita,2021-01-01,1,1
COCHABAMBA,atencion de partos en servicios,rn con malformacion congenita,2021-01-01,1,1
EL ALTO,atencion de partos en servicios,rn con malformacion congenita,2021-01-01,3,3
LA GUARDIA,atencion de partos en servicios,rn con malformacion congenita,2021-01-01,1,1
LA PAZ,atencion de partos en servicios,rn con malformacion congenita,2021-01-01,4,4
MONTERO,atencion de partos en servicios,rn con malformacion congenita,2021-01-01,2,2
OMEREQUE,atencion de partos en servicios,rn con malformacion congenita,2021-01-01,1,1
ORURO,atencion de partos en servicios,rn con malformacion congenita,2021-01-01,5,5
POTOSI,atencion de partos en servicios,rn con malformacion congenita,2021-01-01,2,2
QUILLACOLLO,atencion de partos en servicios,rn con malformacion congenita,2021-01-01,1,1
RIBERALTA,atencion de partos en servicios,rn con malformacion congenita,2021-01-01,3,3
ROBORE,atencion de partos en servicios,rn con malformacion congenita,2021-01-01,1,1
SAN BUENA VENTURA,atencion de partos en servicios,rn con malformacion congenita,2021-01-01,1,1
SAN JAVIER(STC),atencion de partos en servicios,rn con malformacion congenita,2021-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,rn con malformacion congenita,2021-01-01,5,5
TRINIDAD,atencion de partos en servicios,rn con malformacion congenita,2021-01-01,2,2
TUPIZA,atencion de partos en servicios,rn con malformacion congenita,2021-01-01,1,1
BERMEJO,atencion de partos en servicios,rn con malformacion congenita,2021-02-01,2,2
CAMARGO,atencion de partos en servicios,rn con malformacion congenita,2021-02-01,1,1
EL ALTO,atencion de partos en servicios,rn con malformacion congenita,2021-02-01,4,4
LA PAZ,atencion de partos en servicios,rn con malformacion congenita,2021-02-01,4,4
MECAPACA,atencion de partos en servicios,rn con malformacion congenita,2021-02-01,1,1
ORURO,atencion de partos en servicios,rn con malformacion congenita,2021-02-01,2,2
