municipality,group,variable,month,Nacidos muertos,TOTAL
AIQUILE,atencion de partos en servicios,nacidos muertos,2021-01-01,1,1
CHALLAPATA,atencion de partos en servicios,nacidos muertos,2021-01-01,1,1
COCHABAMBA,atencion de partos en servicios,nacidos muertos,2021-01-01,16,16
COLPA BELGICA,atencion de partos en servicios,nacidos muertos,2021-01-01,1,1
EL ALTO,atencion de partos en servicios,nacidos muertos,2021-01-01,15,15
ENTRE RIOS TRJ,atencion de partos en servicios,nacidos muertos,2021-01-01,1,1
LA ASUNTA,atencion de partos en servicios,nacidos muertos,2021-01-01,1,1
LA PAZ,atencion de partos en servicios,nacidos muertos,2021-01-01,18,18
LLALLAGUA,atencion de partos en servicios,nacidos muertos,2021-01-01,1,1
MONTERO,atencion de partos en servicios,nacidos muertos,2021-01-01,5,5
ORURO,atencion de partos en servicios,nacidos muertos,2021-01-01,15,15
PADILLA,atencion de partos en servicios,nacidos muertos,2021-01-01,2,2
POTOSI,atencion de partos en servicios,nacidos muertos,2021-01-01,5,5
PUERTO VILLARROEL,atencion de partos en servicios,nacidos muertos,2021-01-01,3,3
PUNATA,atencion de partos en servicios,nacidos muertos,2021-01-01,1,1
QUILLACOLLO,atencion de partos en servicios,nacidos muertos,2021-01-01,4,4
RIBERALTA,atencion de partos en servicios,nacidos muertos,2021-01-01,2,2
RURRENABAQUE,atencion de partos en servicios,nacidos muertos,2021-01-01,1,1
SACABA,atencion de partos en servicios,nacidos muertos,2021-01-01,1,1
SAN BUENA VENTURA,atencion de partos en servicios,nacidos muertos,2021-01-01,2,2
SAN IGNACIO,atencion de partos en servicios,nacidos muertos,2021-01-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos muertos,2021-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos,2021-01-01,21,21
SHINAOTA,atencion de partos en servicios,nacidos muertos,2021-01-01,1,1
SUCRE,atencion de partos en servicios,nacidos muertos,2021-01-01,3,3
TARIJA,atencion de partos en servicios,nacidos muertos,2021-01-01,4,4
TRINIDAD,atencion de partos en servicios,nacidos muertos,2021-01-01,3,3
UYUNI,atencion de partos en servicios,nacidos muertos,2021-01-01,1,1
VIACHA,atencion de partos en servicios,nacidos muertos,2021-01-01,1,1
VILLA CHARCAS,atencion de partos en servicios,nacidos muertos,2021-01-01,1,1
VILLA TUNARI,atencion de partos en servicios,nacidos muertos,2021-01-01,5,5
VILLAZON,atencion de partos en servicios,nacidos muertos,2021-01-01,2,2
WARNES,atencion de partos en servicios,nacidos muertos,2021-01-01,1,1
YACUIBA,atencion de partos en servicios,nacidos muertos,2021-01-01,3,3
YAPACANI,atencion de partos en servicios,nacidos muertos,2021-01-01,3,3
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos muertos,2021-02-01,1,1
CAJUATA,atencion de partos en servicios,nacidos muertos,2021-02-01,1,1
CAMARGO,atencion de partos en servicios,nacidos muertos,2021-02-01,1,1
CARANAVI,atencion de partos en servicios,nacidos muertos,2021-02-01,1,1
COCHABAMBA,atencion de partos en servicios,nacidos muertos,2021-02-01,17,17
COROICO,atencion de partos en servicios,nacidos muertos,2021-02-01,2,2
EL ALTO,atencion de partos en servicios,nacidos muertos,2021-02-01,16,16
GUAYARAMERIN,atencion de partos en servicios,nacidos muertos,2021-02-01,1,1
LA PAZ,atencion de partos en servicios,nacidos muertos,2021-02-01,14,14
LLALLAGUA,atencion de partos en servicios,nacidos muertos,2021-02-01,3,3
MONTERO,atencion de partos en servicios,nacidos muertos,2021-02-01,1,1
ORURO,atencion de partos en servicios,nacidos muertos,2021-02-01,5,5
POTOSI,atencion de partos en servicios,nacidos muertos,2021-02-01,5,5
PUERTO SUAREZ,atencion de partos en servicios,nacidos muertos,2021-02-01,1,1
PUERTO VILLARROEL,atencion de partos en servicios,nacidos muertos,2021-02-01,5,5
QUILLACOLLO,atencion de partos en servicios,nacidos muertos,2021-02-01,2,2
RIBERALTA,atencion de partos en servicios,nacidos muertos,2021-02-01,3,3
