,group,variable,month,MUJERES CON 4TA CONSULTA PRENATAL A. < 15,MUJERES CON 4TA CONSULTA PRENATAL A. < 15,MUJERES CON 4TA CONSULTA PRENATAL B. 15 A 19,MUJERES CON 4TA CONSULTA PRENATAL B. 15 A 19,MUJERES CON 4TA CONSULTA PRENATAL C. 20 - 34,MUJERES CON 4TA CONSULTA PRENATAL C. 20 - 34,MUJERES CON 4TA CONSULTA PRENATAL D. 35 - 49,MUJERES CON 4TA CONSULTA PRENATAL D. 35 - 49,MUJERES CON 4TA CONSULTA PRENATAL E. 50 Y +,MUJERES CON 4TA CONSULTA PRENATAL E. 50 Y +,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,
ACACIO,consultas prenatales,mujeres con 4ta consulta prenatal,2017-01-01,0,0,2,0,2,1,0,0,0,0,5
ACHACACHI,consultas prenatales,mujeres con 4ta consulta prenatal,2017-01-01,0,0,14,0,22,0,1,0,0,0,37
ACHOCALLA,consultas prenatales,mujeres con 4ta consulta prenatal,2017-01-01,0,0,1,1,4,6,2,1,0,0,15
AIQUILE,consultas prenatales,mujeres con 4ta consulta prenatal,2017-01-01,0,0,5,0,10,0,0,1,0,0,16
ALALAY,consultas prenatales,mujeres con 4ta consulta prenatal,2017-01-01,0,0,1,0,0,0,0,0,0,0,1
ALCALA,consultas prenatales,mujeres con 4ta consulta prenatal,2017-01-01,0,0,1,0,1,0,0,0,0,0,2
ALTO BENI,consultas prenatales,mujeres con 4ta consulta prenatal,2017-01-01,0,0,2,0,6,0,0,0,0,0,8
ANCORAIMES,consultas prenatales,mujeres con 4ta consulta prenatal,2017-01-01,0,0,4,0,2,0,3,0,0,0,9
ANDAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2017-01-01,0,0,0,0,2,0,1,0,0,0,3
ANTEQUERA,consultas prenatales,mujeres con 4ta consulta prenatal,2017-01-01,0,0,0,0,2,0,1,0,0,0,3
ANZALDO,consultas prenatales,mujeres con 4ta consulta prenatal,2017-01-01,0,0,0,0,0,2,0,0,0,0,2
APOLO,consultas prenatales,mujeres con 4ta consulta prenatal,2017-01-01,0,0,1,0,6,0,0,2,0,0,9
ARAMPAMPA,consultas prenatales,mujeres con 4ta consulta prenatal,2017-01-01,1,0,1,0,1,0,0,2,0,0,5
ARANI,consultas prenatales,mujeres con 4ta consulta prenatal,2017-01-01,0,0,2,0,10,0,2,0,0,0,14
ARBIETO,consultas prenatales,mujeres con 4ta consulta prenatal,2017-01-01,0,0,4,0,11,0,2,0,0,0,17
ARQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2017-01-01,0,0,1,0,7,0,6,0,0,0,14
ASCENCION DE GUARAYOS,consultas prenatales,mujeres con 4ta consulta prenatal,2017-01-01,1,0,18,0,25,0,11,0,0,0,55
ATOCHA,consultas prenatales,mujeres con 4ta consulta prenatal,2017-01-01,0,0,0,0,7,0,0,0,0,0,7
AUCAPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2017-01-01,0,0,0,0,3,0,0,0,0,0,3
AYATA,consultas prenatales,mujeres con 4ta consulta prenatal,2017-01-01,0,0,1,0,3,0,2,0,0,0,6
AYO AYO,consultas prenatales,mujeres con 4ta consulta prenatal,2017-01-01,0,0,2,0,4,0,4,0,0,0,10
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,mujeres con 4ta consulta prenatal,2017-01-01,0,0,4,0,11,1,6,0,0,0,22
AZURDUY,consultas prenatales,mujeres con 4ta consulta prenatal,2017-01-01,0,0,1,1,2,2,1,0,0,0,7
BATALLAS,consultas prenatales,mujeres con 4ta consulta prenatal,2017-01-01,0,0,6,0,9,1,3,1,0,0,20
BAURES,consultas prenatales,mujeres con 4ta consulta prenatal,2017-01-01,0,0,1,0,7,0,0,0,0,0,8
BELLA FLOR,consultas prenatales,mujeres con 4ta consulta prenatal,2017-01-01,0,0,5,0,4,0,0,0,0,0,9
BERMEJO,consultas prenatales,mujeres con 4ta consulta prenatal,2017-01-01,0,0,7,0,39,0,4,0,0,0,50
BETANZOS,consultas prenatales,mujeres con 4ta consulta prenatal,2017-01-01,1,0,4,1,15,2,8,1,0,0,32
BOLIVAR,consultas prenatales,mujeres con 4ta consulta prenatal,2017-01-01,0,0,0,0,2,0,0,0,0,0,2
