,group,variable,month,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO A. < 15,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO A. < 15,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO B. 15 A 19,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO B. 15 A 19,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO C. 20 - 34,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO C. 20 - 34,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO D. 35 - 49,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO D. 35 - 49,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO E. 50 Y +,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO E. 50 Y +,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,
ACACIO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,0,0,0,2,0,0,0,2
ACHACACHI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,7,0,19,1,2,0,0,0,29
ACHOCALLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,1,0,0,2,4,2,1,0,0,10
AIQUILE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,1,0,3,0,13,0,4,0,0,0,21
ALALAY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,1,0,2,0,0,0,0,0,3
ALCALA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,0,1,0,0,0,0,0,1
ALTO BENI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,1,0,0,0,1,0,0,0,2
ANCORAIMES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,2,0,3,0,2,0,0,0,7
ANDAMARCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,0,0,0,2,0,0,0,2
ANZALDO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,0,2,1,0,0,0,0,3
APOLO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,2,0,6,0,0,0,0,0,8
ARANI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,3,0,2,0,1,0,0,0,6
ARBIETO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,1,0,10,0,0,0,0,0,11
ARQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,1,0,3,0,1,0,0,0,5
ASCENCION DE GUARAYOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,10,0,24,0,4,0,0,0,38
ATOCHA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,1,0,5,0,0,0,0,0,6
AYATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,0,1,0,0,0,0,0,1
AYO AYO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,1,0,3,0,0,0,0,0,4
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,5,0,7,2,1,1,0,0,16
AZURDUY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,0,0,1,0,0,0,0,1
BATALLAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,2,0,3,1,0,0,0,0,6
BAURES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,1,0,5,0,1,0,0,0,7
BELEN DE URMIRI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,0,1,0,0,1,0,0,2
BERMEJO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,2,1,3,0,11,0,2,0,0,0,19
BETANZOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,1,0,2,0,8,0,4,0,0,0,15
BOLIVAR,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,1,0,0,0,0,0,0,0,1
BUENA VISTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,0,3,1,1,0,0,0,5
