,group,variable,month,REPETIDAS A. < 15,REPETIDAS A. < 15,REPETIDAS B. 15 A 19,REPETIDAS B. 15 A 19,REPETIDAS C. 20 - 34,REPETIDAS C. 20 - 34,REPETIDAS D. 35 - 49,REPETIDAS D. 35 - 49,REPETIDAS E. 50 Y +,REPETIDAS E. 50 Y +,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,
ACACIO,consultas prenatales,repetidas,2017-01-01,0,0,9,0,8,2,6,0,0,0,25
ACHACACHI,consultas prenatales,repetidas,2017-01-01,3,0,68,1,137,7,24,1,0,0,241
ACHOCALLA,consultas prenatales,repetidas,2017-01-01,0,0,12,5,61,37,10,8,0,0,133
AIQUILE,consultas prenatales,repetidas,2017-01-01,0,0,33,1,88,0,18,3,0,0,143
ALALAY,consultas prenatales,repetidas,2017-01-01,0,0,3,0,3,0,0,0,0,0,6
ALCALA,consultas prenatales,repetidas,2017-01-01,0,0,2,0,7,1,0,0,0,0,10
ALTO BENI,consultas prenatales,repetidas,2017-01-01,0,0,15,1,34,0,4,0,0,0,54
ANCORAIMES,consultas prenatales,repetidas,2017-01-01,1,0,13,0,21,1,7,1,0,0,44
ANDAMARCA,consultas prenatales,repetidas,2017-01-01,0,0,1,0,7,1,4,0,0,0,13
ANTEQUERA,consultas prenatales,repetidas,2017-01-01,0,0,2,0,8,1,2,1,0,0,14
ANZALDO,consultas prenatales,repetidas,2017-01-01,0,0,4,2,3,6,1,1,0,0,17
APOLO,consultas prenatales,repetidas,2017-01-01,0,0,19,0,82,1,10,2,0,0,114
ARAMPAMPA,consultas prenatales,repetidas,2017-01-01,1,0,2,3,3,1,0,8,0,0,18
ARANI,consultas prenatales,repetidas,2017-01-01,2,0,21,0,71,1,6,0,0,0,101
ARBIETO,consultas prenatales,repetidas,2017-01-01,0,0,31,0,92,0,15,0,0,0,138
ARQUE,consultas prenatales,repetidas,2017-01-01,0,0,11,0,29,0,9,0,0,0,49
ASCENCION DE GUARAYOS,consultas prenatales,repetidas,2017-01-01,7,0,81,0,184,0,31,1,0,0,304
ATOCHA,consultas prenatales,repetidas,2017-01-01,0,0,8,0,40,1,6,0,0,0,55
AUCAPATA,consultas prenatales,repetidas,2017-01-01,0,0,7,0,15,0,2,0,0,0,24
AYATA,consultas prenatales,repetidas,2017-01-01,1,0,6,0,14,0,7,0,0,0,28
AYO AYO,consultas prenatales,repetidas,2017-01-01,0,0,3,0,20,0,7,0,0,0,30
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,repetidas,2017-01-01,0,0,23,1,80,2,21,1,0,0,128
AZURDUY,consultas prenatales,repetidas,2017-01-01,0,0,3,1,18,5,6,0,0,0,33
BATALLAS,consultas prenatales,repetidas,2017-01-01,0,0,24,0,56,6,10,3,0,0,99
BAURES,consultas prenatales,repetidas,2017-01-01,0,0,6,0,25,1,3,0,0,0,35
BELEN DE ANDAMARCA,consultas prenatales,repetidas,2017-01-01,0,0,0,1,2,2,0,0,0,0,5
BELEN DE URMIRI,consultas prenatales,repetidas,2017-01-01,0,0,0,0,1,0,0,0,0,0,1
BELLA FLOR,consultas prenatales,repetidas,2017-01-01,0,0,12,0,15,0,0,0,0,0,27
BERMEJO,consultas prenatales,repetidas,2017-01-01,0,0,30,0,128,0,24,0,1,0,183
BETANZOS,consultas prenatales,repetidas,2017-01-01,3,0,42,5,79,12,27,8,0,0,176
BOLIVAR,consultas prenatales,repetidas,2017-01-01,0,0,3,0,10,2,4,0,0,0,19
BOLPEBRA,consultas prenatales,repetidas,2017-01-01,0,0,2,0,3,1,0,0,0,0,6
BOYUIBE,consultas prenatales,repetidas,2017-01-01,2,0,6,0,15,0,2,1,0,0,26
BUENA VISTA,consultas prenatales,repetidas,2017-01-01,0,0,23,0,59,2,8,0,0,0,92
CABEZAS,consultas prenatales,repetidas,2017-01-01,1,0,36,3,91,6,5,1,0,0,143
CAIROMA,consultas prenatales,repetidas,2017-01-01,0,0,8,1,38,4,8,0,0,0,59
"CAIZA ""D""",consultas prenatales,repetidas,2017-01-01,0,0,7,2,24,2,5,1,0,0,41
CAJUATA,consultas prenatales,repetidas,2017-01-01,1,0,20,0,50,0,7,0,0,0,78
CALACOTO,consultas prenatales,repetidas,2017-01-01,0,0,2,1,3,4,3,0,0,0,13
