,group,variable,month,NUEVAS ANTES DEL 5TO MES DE EMBARAZO A. < 15,NUEVAS ANTES DEL 5TO MES DE EMBARAZO A. < 15,NUEVAS ANTES DEL 5TO MES DE EMBARAZO B. 15 A 19,NUEVAS ANTES DEL 5TO MES DE EMBARAZO B. 15 A 19,NUEVAS ANTES DEL 5TO MES DE EMBARAZO C. 20 - 34,NUEVAS ANTES DEL 5TO MES DE EMBARAZO C. 20 - 34,NUEVAS ANTES DEL 5TO MES DE EMBARAZO D. 35 - 49,NUEVAS ANTES DEL 5TO MES DE EMBARAZO D. 35 - 49,NUEVAS ANTES DEL 5TO MES DE EMBARAZO E. 50 Y +,NUEVAS ANTES DEL 5TO MES DE EMBARAZO E. 50 Y +,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,
ACACIO,consultas prenatales,nuevas antes del 5to mes de embarazo,2017-01-01,0,0,0,0,1,1,1,0,0,0,3
ACHACACHI,consultas prenatales,nuevas antes del 5to mes de embarazo,2017-01-01,0,0,11,0,36,3,8,0,0,0,58
ACHOCALLA,consultas prenatales,nuevas antes del 5to mes de embarazo,2017-01-01,0,0,1,3,15,14,1,3,0,0,37
AIQUILE,consultas prenatales,nuevas antes del 5to mes de embarazo,2017-01-01,0,0,11,1,22,0,4,0,0,0,38
ALALAY,consultas prenatales,nuevas antes del 5to mes de embarazo,2017-01-01,0,0,0,0,0,0,1,0,0,0,1
ALCALA,consultas prenatales,nuevas antes del 5to mes de embarazo,2017-01-01,0,0,1,0,4,0,1,0,0,0,6
ALTO BENI,consultas prenatales,nuevas antes del 5to mes de embarazo,2017-01-01,0,0,2,0,6,0,0,0,0,0,8
ANCORAIMES,consultas prenatales,nuevas antes del 5to mes de embarazo,2017-01-01,0,0,1,0,6,2,2,0,0,0,11
ANDAMARCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2017-01-01,0,0,0,0,3,1,0,0,0,0,4
ANTEQUERA,consultas prenatales,nuevas antes del 5to mes de embarazo,2017-01-01,0,0,1,0,2,0,1,0,0,0,4
ANZALDO,consultas prenatales,nuevas antes del 5to mes de embarazo,2017-01-01,0,0,0,0,1,1,2,1,0,0,5
APOLO,consultas prenatales,nuevas antes del 5to mes de embarazo,2017-01-01,0,0,3,0,6,0,1,1,0,0,11
ARAMPAMPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2017-01-01,0,0,0,0,4,0,2,2,0,0,8
ARANI,consultas prenatales,nuevas antes del 5to mes de embarazo,2017-01-01,0,0,2,0,15,0,0,0,0,0,17
ARBIETO,consultas prenatales,nuevas antes del 5to mes de embarazo,2017-01-01,0,0,8,0,18,0,3,0,0,0,29
ARQUE,consultas prenatales,nuevas antes del 5to mes de embarazo,2017-01-01,0,0,2,0,4,0,0,0,0,0,6
ASCENCION DE GUARAYOS,consultas prenatales,nuevas antes del 5to mes de embarazo,2017-01-01,1,0,18,0,49,0,4,0,0,0,72
ATOCHA,consultas prenatales,nuevas antes del 5to mes de embarazo,2017-01-01,0,0,2,0,8,1,1,0,0,0,12
AUCAPATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2017-01-01,0,0,2,0,1,0,0,0,0,0,3
AYATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2017-01-01,0,0,1,0,8,0,2,0,0,0,11
AYO AYO,consultas prenatales,nuevas antes del 5to mes de embarazo,2017-01-01,0,0,2,0,8,0,2,0,0,0,12
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,nuevas antes del 5to mes de embarazo,2017-01-01,0,0,4,0,18,2,6,0,0,0,30
AZURDUY,consultas prenatales,nuevas antes del 5to mes de embarazo,2017-01-01,1,0,0,1,6,2,3,0,0,0,13
BATALLAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2017-01-01,0,0,6,1,14,1,1,1,0,0,24
BAURES,consultas prenatales,nuevas antes del 5to mes de embarazo,2017-01-01,0,0,0,0,15,0,0,0,0,0,15
BELEN DE ANDAMARCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2017-01-01,0,0,1,0,1,0,0,0,0,0,2
BELEN DE URMIRI,consultas prenatales,nuevas antes del 5to mes de embarazo,2017-01-01,0,0,0,0,1,0,0,0,0,0,1
