municipality,group,variable,month,Número de viviendas positivas,TOTAL
CABEZAS,control vectorial de dengue,numero de viviendas positivas,2010-01-01,4,4
CARANAVI,control vectorial de dengue,numero de viviendas positivas,2010-01-01,49,49
CHIMORE,control vectorial de dengue,numero de viviendas positivas,2010-01-01,91,91
GUANAY,control vectorial de dengue,numero de viviendas positivas,2010-01-01,1,1
GUAYARAMERIN,control vectorial de dengue,numero de viviendas positivas,2010-01-01,2,2
LAGUNILLAS,control vectorial de dengue,numero de viviendas positivas,2010-01-01,15,15
MONTEAGUDO,control vectorial de dengue,numero de viviendas positivas,2010-01-01,119,119
PALOS BLANCOS,control vectorial de dengue,numero de viviendas positivas,2010-01-01,14,14
SAN BUENA VENTURA,control vectorial de dengue,numero de viviendas positivas,2010-01-01,2,2
SAN MIGUEL DE VELASCO,control vectorial de dengue,numero de viviendas positivas,2010-01-01,31,31
SAN RAFAEL,control vectorial de dengue,numero de viviendas positivas,2010-01-01,18,18
SHINAOTA,control vectorial de dengue,numero de viviendas positivas,2010-01-01,47,47
VILLA TUNARI,control vectorial de dengue,numero de viviendas positivas,2010-01-01,1,1
BERMEJO,control vectorial de dengue,numero de viviendas positivas,2010-02-01,1,1
CABEZAS,control vectorial de dengue,numero de viviendas positivas,2010-02-01,2,2
CAMIRI,control vectorial de dengue,numero de viviendas positivas,2010-02-01,21,21
EL TORNO,control vectorial de dengue,numero de viviendas positivas,2010-02-01,1845,1845
ENTRE RIOS CBBA,control vectorial de dengue,numero de viviendas positivas,2010-02-01,45,45
GUANAY,control vectorial de dengue,numero de viviendas positivas,2010-02-01,66,66
LAGUNILLAS,control vectorial de dengue,numero de viviendas positivas,2010-02-01,5,5
RIBERALTA,control vectorial de dengue,numero de viviendas positivas,2010-02-01,1,1
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,numero de viviendas positivas,2010-02-01,1,1
TIQUIPAYA,control vectorial de dengue,numero de viviendas positivas,2010-02-01,1,1
CABEZAS,control vectorial de dengue,numero de viviendas positivas,2010-03-01,152,152
CAMIRI,control vectorial de dengue,numero de viviendas positivas,2010-03-01,10,10
COLPA BELGICA,control vectorial de dengue,numero de viviendas positivas,2010-03-01,22,22
EL PUENTE(STC),control vectorial de dengue,numero de viviendas positivas,2010-03-01,36,36
GUTIERREZ,control vectorial de dengue,numero de viviendas positivas,2010-03-01,12,12
LA ASUNTA,control vectorial de dengue,numero de viviendas positivas,2010-03-01,5,5
LAGUNILLAS,control vectorial de dengue,numero de viviendas positivas,2010-03-01,26,26
MACHARETI,control vectorial de dengue,numero de viviendas positivas,2010-03-01,48,48
MAPIRI,control vectorial de dengue,numero de viviendas positivas,2010-03-01,35,35
PALOS BLANCOS,control vectorial de dengue,numero de viviendas positivas,2010-03-01,151,151
PORONGO,control vectorial de dengue,numero de viviendas positivas,2010-03-01,20,20
RURRENABAQUE,control vectorial de dengue,numero de viviendas positivas,2010-03-01,10,10
SAN CARLOS,control vectorial de dengue,numero de viviendas positivas,2010-03-01,62,62
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,numero de viviendas positivas,2010-03-01,192,192
TIPUANI,control vectorial de dengue,numero de viviendas positivas,2010-03-01,41,41
VILLA TUNARI,control vectorial de dengue,numero de viviendas positivas,2010-03-01,29,29
WARNES,control vectorial de dengue,numero de viviendas positivas,2010-03-01,2,2
GUANAY,control vectorial de dengue,numero de viviendas positivas,2010-04-01,10,10
MACHARETI,control vectorial de dengue,numero de viviendas positivas,2010-04-01,8,8
MAPIRI,control vectorial de dengue,numero de viviendas positivas,2010-04-01,51,51
MIZQUE,control vectorial de dengue,numero de viviendas positivas,2010-04-01,1,1
PALOS BLANCOS,control vectorial de dengue,numero de viviendas positivas,2010-04-01,25,25
PORONGO,control vectorial de dengue,numero de viviendas positivas,2010-04-01,62,62
SAN BUENA VENTURA,control vectorial de dengue,numero de viviendas positivas,2010-04-01,6,6
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,numero de viviendas positivas,2010-04-01,85,85
TIQUIPAYA,control vectorial de dengue,numero de viviendas positivas,2010-04-01,2,2
ALTO BENI,control vectorial de dengue,numero de viviendas positivas,2010-05-01,3,3
ICLA,control vectorial de dengue,numero de viviendas positivas,2010-05-01,2,2
MONTERO,control vectorial de dengue,numero de viviendas positivas,2010-05-01,49,49
PALOS BLANCOS,control vectorial de dengue,numero de viviendas positivas,2010-05-01,2,2
PORONGO,control vectorial de dengue,numero de viviendas positivas,2010-05-01,4,4
POSTRER VALLE,control vectorial de dengue,numero de viviendas positivas,2010-05-01,1,1
SAN MIGUEL DE VELASCO,control vectorial de dengue,numero de viviendas positivas,2010-05-01,25,25
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,numero de viviendas positivas,2010-05-01,57,57
YANACACHI,control vectorial de dengue,numero de viviendas positivas,2010-05-01,6,6
CULPINA,control vectorial de dengue,numero de viviendas positivas,2010-06-01,2,2
GUANAY,control vectorial de dengue,numero de viviendas positivas,2010-06-01,11,11
ICLA,control vectorial de dengue,numero de viviendas positivas,2010-06-01,5,5
LAGUNILLAS,control vectorial de dengue,numero de viviendas positivas,2010-06-01,4,4
MAIRANA,control vectorial de dengue,numero de viviendas positivas,2010-06-01,5,5
PALOS BLANCOS,control vectorial de dengue,numero de viviendas positivas,2010-06-01,9,9
SAN LUCAS,control vectorial de dengue,numero de viviendas positivas,2010-06-01,18,18
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,numero de viviendas positivas,2010-06-01,0,0
LAGUNILLAS,control vectorial de dengue,numero de viviendas positivas,2010-07-01,9,9
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,numero de viviendas positivas,2010-07-01,0,0
CABEZAS,control vectorial de dengue,numero de viviendas positivas,2010-08-01,2,2
GUANAY,control vectorial de dengue,numero de viviendas positivas,2010-08-01,4,4
SAN BUENA VENTURA,control vectorial de dengue,numero de viviendas positivas,2010-08-01,3,3
SAN LUCAS,control vectorial de dengue,numero de viviendas positivas,2010-08-01,2,2
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,numero de viviendas positivas,2010-08-01,6,6
CABEZAS,control vectorial de dengue,numero de viviendas positivas,2010-09-01,35,35
ENTRE RIOS CBBA,control vectorial de dengue,numero de viviendas positivas,2010-09-01,73,73
SAN JULIAN,control vectorial de dengue,numero de viviendas positivas,2010-09-01,15,15
SAN RAFAEL,control vectorial de dengue,numero de viviendas positivas,2010-09-01,44,44
SAN RAMON BENI,control vectorial de dengue,numero de viviendas positivas,2010-09-01,3,3
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,numero de viviendas positivas,2010-09-01,0,0
VILLA TUNARI,control vectorial de dengue,numero de viviendas positivas,2010-09-01,16,16
CARAPARI,control vectorial de dengue,numero de viviendas positivas,2010-10-01,1,1
CHARAGUA,control vectorial de dengue,numero de viviendas positivas,2010-10-01,3,3
CHIMORE,control vectorial de dengue,numero de viviendas positivas,2010-10-01,61,61
CUEVO,control vectorial de dengue,numero de viviendas positivas,2010-10-01,11,11
ENTRE RIOS CBBA,control vectorial de dengue,numero de viviendas positivas,2010-10-01,161,161
HUACARETA,control vectorial de dengue,numero de viviendas positivas,2010-10-01,3,3
MAIRANA,control vectorial de dengue,numero de viviendas positivas,2010-10-01,1,1
PRESTO,control vectorial de dengue,numero de viviendas positivas,2010-10-01,79,79
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,numero de viviendas positivas,2010-10-01,2,2
VILLA TUNARI,control vectorial de dengue,numero de viviendas positivas,2010-10-01,31,31
ALTO BENI,control vectorial de dengue,numero de viviendas positivas,2010-11-01,3,3
CHIMORE,control vectorial de dengue,numero de viviendas positivas,2010-11-01,257,257
ENTRE RIOS CBBA,control vectorial de dengue,numero de viviendas positivas,2010-11-01,140,140
OMEREQUE,control vectorial de dengue,numero de viviendas positivas,2010-11-01,3,3
SAIPINA,control vectorial de dengue,numero de viviendas positivas,2010-11-01,1,1
SAN JULIAN,control vectorial de dengue,numero de viviendas positivas,2010-11-01,2,2
SHINAOTA,control vectorial de dengue,numero de viviendas positivas,2010-11-01,30,30
TIPUANI,control vectorial de dengue,numero de viviendas positivas,2010-11-01,26,26
VILLA TUNARI,control vectorial de dengue,numero de viviendas positivas,2010-11-01,31,31
ALTO BENI,control vectorial de dengue,numero de viviendas positivas,2010-12-01,70,70
CABEZAS,control vectorial de dengue,numero de viviendas positivas,2010-12-01,10,10
COCHABAMBA,control vectorial de dengue,numero de viviendas positivas,2010-12-01,132,132
CUATRO CAÑADAS,control vectorial de dengue,numero de viviendas positivas,2010-12-01,66,66
GUANAY,control vectorial de dengue,numero de viviendas positivas,2010-12-01,4,4
MAPIRI,control vectorial de dengue,numero de viviendas positivas,2010-12-01,74,74
SAN PEDRO,control vectorial de dengue,numero de viviendas positivas,2010-12-01,22,22
SAN RAFAEL,control vectorial de dengue,numero de viviendas positivas,2010-12-01,34,34
TOTORA(CBBA),control vectorial de dengue,numero de viviendas positivas,2010-12-01,1,1
VALLEGRANDE,control vectorial de dengue,numero de viviendas positivas,2010-12-01,18,18
