municipality,group,variable,month,Número de viviendas evaluadas entomológicamente,TOTAL
AZURDUY,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-01-01,8,8
BERMEJO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-01-01,1,1
CABEZAS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-01-01,175,175
CARANAVI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-01-01,184,184
CHIMORE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-01-01,286,286
EL TORNO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-01-01,859,859
ENTRE RIOS CBBA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-01-01,2,2
FERNANDEZ ALONSO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-01-01,21,21
GUANAY,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-01-01,340,340
GUAYARAMERIN,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-01-01,3,3
GUTIERREZ,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-01-01,88,88
INGAVI (HUMAITA),control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-01-01,1,1
LAGUNILLAS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-01-01,76,76
MONTEAGUDO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-01-01,1064,1064
PALOS BLANCOS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-01-01,94,94
POSTRER VALLE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-01-01,170,170
SAN BUENA VENTURA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-01-01,60,60
SAN MIGUEL DE VELASCO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-01-01,44,44
SAN RAFAEL,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-01-01,25,25
SHINAOTA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-01-01,120,120
