,group,variable,month,TRATAMIENTOS DE 15 AÑOS Y MÁS INICIADO,TRATAMIENTOS DE 15 AÑOS Y MÁS INICIADO,TRATAMIENTOS DE 15 AÑOS Y MÁS CONCLUIDO,TRATAMIENTOS DE 15 AÑOS Y MÁS CONCLUIDO,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO1,FEMENINO1,TOTAL Iniciado,TOTAL Concluido
municipality,,,,,,,,,
BERMEJO,chagas,tratamientos de 15 anos y mas,2022-01-01,1,2,0,0,1,2
CARAPARI,chagas,tratamientos de 15 anos y mas,2022-01-01,0,0,1,0,1,0
CLIZA,chagas,tratamientos de 15 anos y mas,2022-01-01,0,0,1,0,1,0
COBIJA,chagas,tratamientos de 15 anos y mas,2022-01-01,0,1,0,0,0,1
COCHABAMBA,chagas,tratamientos de 15 anos y mas,2022-01-01,4,3,2,9,6,12
COTAGAITA,chagas,tratamientos de 15 anos y mas,2022-01-01,0,1,1,0,1,1
ENTRE RIOS CBBA,chagas,tratamientos de 15 anos y mas,2022-01-01,0,2,0,0,0,2
HUACAYA (VILLA DE HUACAYA),chagas,tratamientos de 15 anos y mas,2022-01-01,0,0,0,1,0,1
LA ASUNTA,chagas,tratamientos de 15 anos y mas,2022-01-01,0,0,1,0,1,0
MIZQUE,chagas,tratamientos de 15 anos y mas,2022-01-01,0,1,0,0,0,1
MONTEAGUDO,chagas,tratamientos de 15 anos y mas,2022-01-01,3,6,1,3,4,9
OMEREQUE,chagas,tratamientos de 15 anos y mas,2022-01-01,0,1,0,0,0,1
PADILLA,chagas,tratamientos de 15 anos y mas,2022-01-01,0,1,0,0,0,1
POROMA,chagas,tratamientos de 15 anos y mas,2022-01-01,0,0,1,4,1,4
PUERTO VILLARROEL,chagas,tratamientos de 15 anos y mas,2022-01-01,0,3,1,0,1,3
SACABA,chagas,tratamientos de 15 anos y mas,2022-01-01,2,2,0,0,2,2
SAN BENITO,chagas,tratamientos de 15 anos y mas,2022-01-01,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos de 15 anos y mas,2022-01-01,4,7,0,0,4,7
SHINAOTA,chagas,tratamientos de 15 anos y mas,2022-01-01,0,1,0,0,0,1
