,group,variable,month,TRATAMIENTOS EN MUJERES POST PARTO 25.5 TRATAMIENTOS EN MUJERES POST PARTO,TRATAMIENTOS EN MUJERES POST PARTO 25.5 TRATAMIENTOS EN MUJERES POST PARTO,TRATAMIENTOS EN MUJERES POST PARTO 25.5 TRATAMIENTOS EN MUJERES POST PARTO,TRATAMIENTOS EN MUJERES POST PARTO 25.5 TRATAMIENTOS EN MUJERES POST PARTO,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO1,FEMENINO1,TOTAL Iniciado,TOTAL Concluido
municipality,,,,,,,,,
COCHABAMBA,chagas,tratamientos en mujeres post parto,2022-03-01,0.0,1.0,0.0,0.0,0.0,1.0
SUCRE,chagas,tratamientos en mujeres post parto,2022-03-01,0.0,2.0,0.0,0.0,0.0,2.0
MONTERO,chagas,tratamientos en mujeres post parto,2022-05-01,0.0,3.0,1.0,21.0,1.0,24.0
TORO TORO,chagas,tratamientos en mujeres post parto,2022-05-01,0.0,1.0,0.0,0.0,0.0,1.0
TARIJA,chagas,tratamientos en mujeres post parto,2022-06-01,0.0,21.0,0.0,0.0,0.0,21.0
CUATRO CAÑADAS,chagas,tratamientos en mujeres post parto,2022-07-01,0.0,0.0,0.0,6.0,0.0,6.0
YAPACANI,chagas,tratamientos en mujeres post parto,2022-07-01,0.0,1.0,0.0,0.0,0.0,1.0
MIZQUE,chagas,tratamientos en mujeres post parto,2022-08-01,0.0,0.0,0.0,0.0,0.0,0.0
EL TORNO,chagas,tratamientos en mujeres post parto,2022-10-01,0.0,1.0,0.0,0.0,0.0,1.0
COCHABAMBA,chagas,tratamientos en mujeres post parto,2022-11-01,0.0,1.0,0.0,0.0,0.0,1.0
EL TORNO,chagas,tratamientos en mujeres post parto,2022-11-01,0.0,2.0,0.0,0.0,0.0,2.0
SUCRE,chagas,tratamientos en mujeres post parto,2022-12-01,0.0,0.0,0.0,7.0,0.0,7.0
