,group,variable,month,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD INCIADO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD INCIADO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD CONCLUIDO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD CONCLUIDO,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO1,FEMENINO1,TOTAL Iniciado,TOTAL Concluido
municipality,,,,,,,,,
COCHABAMBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-01-01,7,8,4,4,11,12
GUAYARAMERIN,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-01-01,7,0,0,0,7,0
LA GUARDIA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-01-01,0,1,1,4,1,5
MONTEAGUDO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-01-01,1,0,0,0,1,0
POROMA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-01-01,0,0,1,2,1,2
QUIRUSILLAS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-01-01,0,0,0,2,0,2
SIPE SIPE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-01-01,1,0,0,0,1,0
SUCRE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-01-01,23,24,23,21,46,45
BERMEJO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-02-01,1,0,0,0,1,0
COCHABAMBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-02-01,7,9,2,1,9,10
COLCAPIRHUA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-02-01,1,0,0,1,1,1
SACABA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-02-01,0,1,0,0,0,1
SAN LUCAS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-02-01,0,0,0,1,0,1
TARABUCO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-02-01,0,1,0,0,0,1
COCHABAMBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-03-01,5,9,4,4,9,13
