,group,variable,month,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD INICIADO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD INICIADO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD CONCLUIDO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD CONCLUIDO,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO1,FEMENINO1,TOTAL Iniciado,TOTAL Concluido
municipality,,,,,,,,,
LA GUARDIA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2022-01-01,0.0,0.0,0.0,1.0,0.0,1.0
BERMEJO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2022-02-01,2.0,5.0,0.0,0.0,2.0,5.0
LA PAZ,chagas,tratamientos 1 ano a menores de 5 anos de edad,2022-02-01,0.0,0.0,0.0,0.0,0.0,0.0
MAIRANA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2022-02-01,0.0,0.0,0.0,1.0,0.0,1.0
BETANZOS,chagas,tratamientos 1 ano a menores de 5 anos de edad,2022-04-01,1.0,0.0,0.0,0.0,1.0,0.0
ENTRE RIOS CBBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2022-04-01,0.0,0.0,0.0,1.0,0.0,1.0
LA ASUNTA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2022-04-01,0.0,1.0,0.0,0.0,0.0,1.0
PUERTO VILLARROEL,chagas,tratamientos 1 ano a menores de 5 anos de edad,2022-04-01,1.0,0.0,0.0,0.0,1.0,0.0
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2022-04-01,0.0,1.0,0.0,0.0,0.0,1.0
TOTORA(CBBA),chagas,tratamientos 1 ano a menores de 5 anos de edad,2022-04-01,0.0,1.0,0.0,0.0,0.0,1.0
MONTERO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2022-05-01,6.0,34.0,1.0,0.0,7.0,34.0
PUERTO VILLARROEL,chagas,tratamientos 1 ano a menores de 5 anos de edad,2022-05-01,1.0,0.0,0.0,0.0,1.0,0.0
PUERTO VILLARROEL,chagas,tratamientos 1 ano a menores de 5 anos de edad,2022-06-01,1.0,0.0,0.0,0.0,1.0,0.0
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2022-06-01,0.0,0.0,0.0,1.0,0.0,1.0
FILADELFIA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2022-07-01,0.0,0.0,1.0,0.0,1.0,0.0
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2022-07-01,1.0,0.0,0.0,0.0,1.0,0.0
COMARAPA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2022-08-01,1.0,0.0,0.0,0.0,1.0,0.0
VILLA MONTES,chagas,tratamientos 1 ano a menores de 5 anos de edad,2022-08-01,0.0,1.0,0.0,0.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2022-09-01,0.0,0.0,1.0,0.0,1.0,0.0
COMARAPA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2022-10-01,0.0,0.0,1.0,0.0,1.0,0.0
SAMAIPATA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2022-10-01,1.0,0.0,0.0,0.0,1.0,0.0
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2022-10-01,0.0,1.0,0.0,0.0,0.0,1.0
TACOBAMBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2022-10-01,1.0,1.0,0.0,0.0,1.0,1.0
RIBERALTA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2022-11-01,1.0,1.0,0.0,0.0,1.0,1.0
QUILLACOLLO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2022-12-01,0.0,0.0,1.0,0.0,1.0,0.0
SAMAIPATA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2022-12-01,0.0,0.0,1.0,0.0,1.0,0.0
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2022-12-01,0.0,0.0,0.0,1.0,0.0,1.0
