,group,variable,month,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD INICIADO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD INICIADO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD CONCLUIDO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD CONCLUIDO,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO1,FEMENINO1,TOTAL Iniciado,TOTAL Concluido
municipality,,,,,,,,,
COMARAPA,chagas,tratamientos rn a menores de 1 ano de edad,2022-01-01,0,0,0,1,0,1
POROMA,chagas,tratamientos rn a menores de 1 ano de edad,2022-01-01,0,0,0,1,0,1
PRESTO,chagas,tratamientos rn a menores de 1 ano de edad,2022-01-01,0,1,0,0,0,1
TARABUCO,chagas,tratamientos rn a menores de 1 ano de edad,2022-01-01,0,0,0,1,0,1
TOTORA(CBBA),chagas,tratamientos rn a menores de 1 ano de edad,2022-01-01,0,1,1,1,1,2
YACUIBA,chagas,tratamientos rn a menores de 1 ano de edad,2022-01-01,0,3,0,1,0,4
BELLA FLOR,chagas,tratamientos rn a menores de 1 ano de edad,2022-02-01,0,0,2,0,2,0
COCHABAMBA,chagas,tratamientos rn a menores de 1 ano de edad,2022-02-01,0,1,0,0,0,1
ENTRE RIOS CBBA,chagas,tratamientos rn a menores de 1 ano de edad,2022-02-01,1,0,0,0,1,0
LA PAZ,chagas,tratamientos rn a menores de 1 ano de edad,2022-02-01,0,0,0,0,0,0
MACHARETI,chagas,tratamientos rn a menores de 1 ano de edad,2022-02-01,1,0,0,0,1,0
SAMAIPATA,chagas,tratamientos rn a menores de 1 ano de edad,2022-02-01,1,0,0,0,1,0
CHULUMANI (V. DE LA LIBERTAD),chagas,tratamientos rn a menores de 1 ano de edad,2022-03-01,0,1,0,0,0,1
ENTRE RIOS CBBA,chagas,tratamientos rn a menores de 1 ano de edad,2022-03-01,1,0,0,0,1,0
MACHARETI,chagas,tratamientos rn a menores de 1 ano de edad,2022-03-01,0,3,1,0,1,3
PRESTO,chagas,tratamientos rn a menores de 1 ano de edad,2022-03-01,0,0,0,1,0,1
