,group,variable,month,NUEVAS ANTES DEL 5TO MES DE EMBARAZO A. < 15,NUEVAS ANTES DEL 5TO MES DE EMBARAZO A. < 15,NUEVAS ANTES DEL 5TO MES DE EMBARAZO B. 15 A 19,NUEVAS ANTES DEL 5TO MES DE EMBARAZO B. 15 A 19,NUEVAS ANTES DEL 5TO MES DE EMBARAZO C. 20 - 34,NUEVAS ANTES DEL 5TO MES DE EMBARAZO C. 20 - 34,NUEVAS ANTES DEL 5TO MES DE EMBARAZO D. 35 - 49,NUEVAS ANTES DEL 5TO MES DE EMBARAZO D. 35 - 49,NUEVAS ANTES DEL 5TO MES DE EMBARAZO E. 50 Y +,NUEVAS ANTES DEL 5TO MES DE EMBARAZO E. 50 Y +,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,
ACACIO,consultas prenatales,nuevas antes del 5to mes de embarazo,2022-01-01,0,0,0,0,1,0,0,0,0,0,1
ACHACACHI,consultas prenatales,nuevas antes del 5to mes de embarazo,2022-01-01,0,0,9,1,19,1,4,0,0,0,34
ACHOCALLA,consultas prenatales,nuevas antes del 5to mes de embarazo,2022-01-01,1,0,7,0,29,0,4,0,0,0,41
AIQUILE,consultas prenatales,nuevas antes del 5to mes de embarazo,2022-01-01,0,0,1,0,9,0,1,0,0,0,11
ALALAY,consultas prenatales,nuevas antes del 5to mes de embarazo,2022-01-01,0,0,0,0,1,0,0,1,0,0,2
ALTO BENI,consultas prenatales,nuevas antes del 5to mes de embarazo,2022-01-01,0,0,2,0,8,0,1,0,0,0,11
ANCORAIMES,consultas prenatales,nuevas antes del 5to mes de embarazo,2022-01-01,0,0,4,0,4,0,2,0,0,0,10
ANTEQUERA,consultas prenatales,nuevas antes del 5to mes de embarazo,2022-01-01,0,0,0,0,1,0,0,0,0,0,1
ANZALDO,consultas prenatales,nuevas antes del 5to mes de embarazo,2022-01-01,0,0,3,0,2,0,0,0,0,0,5
APOLO,consultas prenatales,nuevas antes del 5to mes de embarazo,2022-01-01,0,0,5,0,10,2,4,0,0,0,21
ARAMPAMPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2022-01-01,0,0,0,0,0,0,0,1,0,0,1
ARANI,consultas prenatales,nuevas antes del 5to mes de embarazo,2022-01-01,0,0,2,0,5,0,1,0,0,0,8
ARBIETO,consultas prenatales,nuevas antes del 5to mes de embarazo,2022-01-01,0,0,5,0,12,0,2,0,0,0,19
ARQUE,consultas prenatales,nuevas antes del 5to mes de embarazo,2022-01-01,0,0,1,0,4,0,2,0,0,0,7
ASCENCION DE GUARAYOS,consultas prenatales,nuevas antes del 5to mes de embarazo,2022-01-01,2,0,14,0,27,0,9,2,0,0,54
ATOCHA,consultas prenatales,nuevas antes del 5to mes de embarazo,2022-01-01,0,0,2,0,9,0,0,0,0,0,11
AUCAPATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2022-01-01,0,0,3,0,6,0,0,0,0,0,9
AYATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2022-01-01,0,0,3,0,7,0,0,0,0,0,10
AYO AYO,consultas prenatales,nuevas antes del 5to mes de embarazo,2022-01-01,1,0,3,0,3,0,2,0,0,0,9
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,nuevas antes del 5to mes de embarazo,2022-01-01,0,0,3,0,10,0,5,0,0,0,18
AZURDUY,consultas prenatales,nuevas antes del 5to mes de embarazo,2022-01-01,0,0,0,0,5,0,1,0,0,0,6
BATALLAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2022-01-01,0,0,1,0,12,2,1,0,0,0,16
BAURES,consultas prenatales,nuevas antes del 5to mes de embarazo,2022-01-01,1,0,1,0,7,0,1,0,0,0,10
BELLA FLOR,consultas prenatales,nuevas antes del 5to mes de embarazo,2022-01-01,0,0,0,0,0,1,2,0,0,0,3
BERMEJO,consultas prenatales,nuevas antes del 5to mes de embarazo,2022-01-01,0,0,3,0,33,0,6,0,0,0,42
BETANZOS,consultas prenatales,nuevas antes del 5to mes de embarazo,2022-01-01,0,0,4,0,16,0,3,1,0,0,24
BOLIVAR,consultas prenatales,nuevas antes del 5to mes de embarazo,2022-01-01,0,0,0,0,1,0,1,1,0,0,3
