,group,variable,month,REPETIDAS A. < 15,REPETIDAS A. < 15,REPETIDAS B. 15 A 19,REPETIDAS B. 15 A 19,REPETIDAS C. 20 - 34,REPETIDAS C. 20 - 34,REPETIDAS D. 35 - 49,REPETIDAS D. 35 - 49,REPETIDAS E. 50 Y +,REPETIDAS E. 50 Y +,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,
ACACIO,consultas prenatales,repetidas,2022-01-01,0,0,1,0,4,5,3,2,0,0,15
ACHACACHI,consultas prenatales,repetidas,2022-01-01,1,0,33,0,143,5,24,0,0,0,206
ACHOCALLA,consultas prenatales,repetidas,2022-01-01,1,0,26,0,106,0,27,0,0,0,160
AIQUILE,consultas prenatales,repetidas,2022-01-01,3,0,10,0,22,1,13,0,0,0,49
ALALAY,consultas prenatales,repetidas,2022-01-01,0,0,1,0,2,0,0,1,0,0,4
ALCALA,consultas prenatales,repetidas,2022-01-01,0,0,4,0,12,0,2,0,0,0,18
ALTO BENI,consultas prenatales,repetidas,2022-01-01,0,0,4,0,30,0,11,1,0,0,46
ANCORAIMES,consultas prenatales,repetidas,2022-01-01,0,0,5,1,20,0,1,0,0,0,27
ANDAMARCA,consultas prenatales,repetidas,2022-01-01,0,0,0,1,8,2,2,0,0,0,13
ANTEQUERA,consultas prenatales,repetidas,2022-01-01,0,0,0,0,5,0,1,0,0,0,6
ANZALDO,consultas prenatales,repetidas,2022-01-01,0,0,6,1,18,2,7,1,0,0,35
APOLO,consultas prenatales,repetidas,2022-01-01,2,0,11,1,65,5,17,2,0,0,103
ARAMPAMPA,consultas prenatales,repetidas,2022-01-01,0,0,3,0,3,3,0,3,0,0,12
ARANI,consultas prenatales,repetidas,2022-01-01,0,0,0,0,9,0,1,0,0,0,10
ARBIETO,consultas prenatales,repetidas,2022-01-01,0,0,24,0,101,0,17,0,0,0,142
ARQUE,consultas prenatales,repetidas,2022-01-01,0,0,13,0,19,1,5,1,0,0,39
ASCENCION DE GUARAYOS,consultas prenatales,repetidas,2022-01-01,2,0,58,0,154,0,19,0,0,0,233
ATOCHA,consultas prenatales,repetidas,2022-01-01,0,0,3,0,29,0,2,0,0,0,34
AUCAPATA,consultas prenatales,repetidas,2022-01-01,0,0,0,0,9,0,1,0,0,0,10
AYATA,consultas prenatales,repetidas,2022-01-01,0,0,3,0,13,0,2,0,0,0,18
AYO AYO,consultas prenatales,repetidas,2022-01-01,0,0,2,0,19,1,6,0,0,0,28
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,repetidas,2022-01-01,0,0,16,0,51,2,13,1,0,0,83
AZURDUY,consultas prenatales,repetidas,2022-01-01,2,0,10,5,13,5,8,3,0,0,46
BATALLAS,consultas prenatales,repetidas,2022-01-01,2,0,14,0,58,0,8,0,0,0,82
BAURES,consultas prenatales,repetidas,2022-01-01,1,1,2,0,14,1,1,0,0,0,20
BELEN DE ANDAMARCA,consultas prenatales,repetidas,2022-01-01,0,0,0,0,5,2,0,0,0,0,7
BELEN DE URMIRI,consultas prenatales,repetidas,2022-01-01,0,0,1,0,0,2,0,0,0,0,3
BELLA FLOR,consultas prenatales,repetidas,2022-01-01,2,0,3,0,9,3,3,0,0,0,20
BERMEJO,consultas prenatales,repetidas,2022-01-01,0,0,13,0,149,1,52,0,0,0,215
BETANZOS,consultas prenatales,repetidas,2022-01-01,0,0,28,2,84,13,19,0,0,0,146
BOLIVAR,consultas prenatales,repetidas,2022-01-01,0,0,6,0,15,0,1,0,0,0,22
BOLPEBRA,consultas prenatales,repetidas,2022-01-01,0,0,0,0,3,1,0,0,0,0,4
BOYUIBE,consultas prenatales,repetidas,2022-01-01,0,0,3,0,16,3,5,2,0,0,29
BUENA VISTA,consultas prenatales,repetidas,2022-01-01,0,0,13,0,49,2,9,0,0,0,73
CABEZAS,consultas prenatales,repetidas,2022-01-01,0,0,24,3,57,4,14,0,0,0,102
CAIROMA,consultas prenatales,repetidas,2022-01-01,0,0,5,0,32,0,3,0,0,0,40
"CAIZA ""D""",consultas prenatales,repetidas,2022-01-01,0,0,4,0,28,0,8,1,0,0,41
CAJUATA,consultas prenatales,repetidas,2022-01-01,1,0,11,0,61,1,8,0,0,0,82
CALACOTO,consultas prenatales,repetidas,2022-01-01,0,0,2,2,2,1,0,1,0,0,8
