,group,variable,month,MUJERES CON 4TA CONSULTA PRENATAL A. < 15,MUJERES CON 4TA CONSULTA PRENATAL A. < 15,MUJERES CON 4TA CONSULTA PRENATAL B. 15 A 19,MUJERES CON 4TA CONSULTA PRENATAL B. 15 A 19,MUJERES CON 4TA CONSULTA PRENATAL C. 20 - 34,MUJERES CON 4TA CONSULTA PRENATAL C. 20 - 34,MUJERES CON 4TA CONSULTA PRENATAL D. 35 - 49,MUJERES CON 4TA CONSULTA PRENATAL D. 35 - 49,MUJERES CON 4TA CONSULTA PRENATAL E. 50 Y +,MUJERES CON 4TA CONSULTA PRENATAL E. 50 Y +,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,
ACACIO,consultas prenatales,mujeres con 4ta consulta prenatal,2022-01-01,0,0,0,0,0,2,1,0,0,0,3
ACHACACHI,consultas prenatales,mujeres con 4ta consulta prenatal,2022-01-01,0,0,3,0,25,3,1,0,0,0,32
ACHOCALLA,consultas prenatales,mujeres con 4ta consulta prenatal,2022-01-01,0,0,6,0,19,0,4,0,0,0,29
AIQUILE,consultas prenatales,mujeres con 4ta consulta prenatal,2022-01-01,0,0,0,0,4,0,1,0,0,0,5
ALALAY,consultas prenatales,mujeres con 4ta consulta prenatal,2022-01-01,0,0,0,0,1,0,0,0,0,0,1
ALCALA,consultas prenatales,mujeres con 4ta consulta prenatal,2022-01-01,0,0,1,0,2,0,2,0,0,0,5
ALTO BENI,consultas prenatales,mujeres con 4ta consulta prenatal,2022-01-01,0,0,2,0,2,0,1,0,0,0,5
ANCORAIMES,consultas prenatales,mujeres con 4ta consulta prenatal,2022-01-01,0,0,1,0,5,0,0,0,0,0,6
ANDAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2022-01-01,0,0,0,0,1,0,0,0,0,0,1
ANTEQUERA,consultas prenatales,mujeres con 4ta consulta prenatal,2022-01-01,0,0,0,0,1,0,0,0,0,0,1
ANZALDO,consultas prenatales,mujeres con 4ta consulta prenatal,2022-01-01,0,0,1,0,5,1,3,0,0,0,10
APOLO,consultas prenatales,mujeres con 4ta consulta prenatal,2022-01-01,0,0,2,0,9,0,4,0,0,0,15
ARAMPAMPA,consultas prenatales,mujeres con 4ta consulta prenatal,2022-01-01,0,0,0,0,0,0,0,1,0,0,1
ARANI,consultas prenatales,mujeres con 4ta consulta prenatal,2022-01-01,0,0,1,0,1,0,0,0,0,0,2
ARBIETO,consultas prenatales,mujeres con 4ta consulta prenatal,2022-01-01,0,0,4,0,11,0,3,0,0,0,18
ARQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2022-01-01,0,0,1,0,3,1,2,1,0,0,8
ASCENCION DE GUARAYOS,consultas prenatales,mujeres con 4ta consulta prenatal,2022-01-01,4,0,12,0,52,0,7,0,0,0,75
ATOCHA,consultas prenatales,mujeres con 4ta consulta prenatal,2022-01-01,0,0,0,0,6,0,3,0,0,0,9
AUCAPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2022-01-01,0,0,0,0,4,0,0,0,0,0,4
AYATA,consultas prenatales,mujeres con 4ta consulta prenatal,2022-01-01,0,0,1,0,4,0,0,0,0,0,5
AYO AYO,consultas prenatales,mujeres con 4ta consulta prenatal,2022-01-01,0,0,1,0,2,0,1,0,0,0,4
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,mujeres con 4ta consulta prenatal,2022-01-01,0,0,0,0,10,0,4,0,0,0,14
AZURDUY,consultas prenatales,mujeres con 4ta consulta prenatal,2022-01-01,0,0,2,0,3,1,3,2,0,0,11
BATALLAS,consultas prenatales,mujeres con 4ta consulta prenatal,2022-01-01,0,0,3,0,17,0,3,0,0,0,23
BAURES,consultas prenatales,mujeres con 4ta consulta prenatal,2022-01-01,0,0,0,0,5,0,0,0,0,0,5
BELEN DE URMIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2022-01-01,0,0,0,0,0,1,0,0,0,0,1
BELLA FLOR,consultas prenatales,mujeres con 4ta consulta prenatal,2022-01-01,0,0,0,0,4,1,0,0,0,0,5
BERMEJO,consultas prenatales,mujeres con 4ta consulta prenatal,2022-01-01,0,0,1,0,30,0,8,0,0,0,39
BETANZOS,consultas prenatales,mujeres con 4ta consulta prenatal,2022-01-01,0,0,5,1,12,5,4,0,0,0,27
