,group,variable,month,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO A. < 15,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO A. < 15,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO B. 15 A 19,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO B. 15 A 19,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO C. 20 - 34,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO C. 20 - 34,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO D. 35 - 49,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO D. 35 - 49,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO E. 50 Y +,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO E. 50 Y +,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,
ACHACACHI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2022-01-01,0,0,0,0,5,1,2,0,0,0,8
ACHOCALLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2022-01-01,0,0,1,0,9,0,4,0,0,0,14
AIQUILE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2022-01-01,0,0,3,1,2,0,0,0,0,0,6
ALALAY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2022-01-01,0,0,2,1,0,0,0,0,0,0,3
ALCALA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2022-01-01,0,0,1,0,0,0,0,0,0,0,1
ALTO BENI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2022-01-01,0,0,2,0,0,0,0,0,0,0,2
ANCORAIMES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2022-01-01,0,0,0,0,3,0,0,0,0,0,3
ANDAMARCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2022-01-01,0,0,0,0,2,0,1,0,0,0,3
APOLO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2022-01-01,0,0,1,0,2,0,0,0,0,0,3
ARANI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2022-01-01,0,0,0,0,1,0,0,0,0,0,1
ARBIETO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2022-01-01,0,0,2,0,3,0,0,0,0,0,5
ARQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2022-01-01,0,0,2,0,4,0,0,0,0,0,6
ASCENCION DE GUARAYOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2022-01-01,0,0,8,0,9,0,1,0,0,0,18
ATOCHA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2022-01-01,0,0,1,0,3,0,2,0,0,0,6
AUCAPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2022-01-01,0,0,0,0,2,0,1,0,0,0,3
AYATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2022-01-01,0,0,1,0,0,0,0,0,0,0,1
AYO AYO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2022-01-01,0,0,0,0,1,0,0,0,0,0,1
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2022-01-01,0,0,2,0,1,0,1,0,0,0,4
AZURDUY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2022-01-01,0,0,0,0,0,0,0,1,0,0,1
BATALLAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2022-01-01,0,0,0,0,4,1,1,2,0,0,8
BAURES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2022-01-01,0,0,1,0,5,0,0,0,0,0,6
BERMEJO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2022-01-01,0,0,2,0,3,0,2,0,0,0,7
BETANZOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2022-01-01,0,0,1,0,1,1,2,0,0,0,5
BOYUIBE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2022-01-01,0,0,0,1,0,1,0,0,0,0,2
BUENA VISTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2022-01-01,1,0,1,0,4,1,1,0,0,0,8
CABEZAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2022-01-01,0,0,0,1,10,0,0,0,0,0,11
CAIROMA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2022-01-01,0,0,1,0,3,0,0,0,0,0,4
