,group,variable,month,PERSONAS DE 50 A 59 AÑOS NUEVO,PERSONAS DE 50 A 59 AÑOS NUEVO,PERSONAS DE 50 A 59 AÑOS REPETIDO,PERSONAS DE 50 A 59 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 50 a 59 anos,2017-01-01,18,28,0,4,18,32,50
ACHACACHI,consulta externa,personas de 50 a 59 anos,2017-01-01,61,98,18,58,79,156,235
ACHOCALLA,consulta externa,personas de 50 a 59 anos,2017-01-01,7,21,0,0,7,21,28
AIQUILE,consulta externa,personas de 50 a 59 anos,2017-01-01,50,88,40,55,90,143,233
ALALAY,consulta externa,personas de 50 a 59 anos,2017-01-01,4,2,0,0,4,2,6
ALCALA,consulta externa,personas de 50 a 59 anos,2017-01-01,9,28,2,3,11,31,42
ALTO BENI,consulta externa,personas de 50 a 59 anos,2017-01-01,29,38,2,6,31,44,75
ANCORAIMES,consulta externa,personas de 50 a 59 anos,2017-01-01,22,28,11,3,33,31,64
ANDAMARCA,consulta externa,personas de 50 a 59 anos,2017-01-01,8,15,0,1,8,16,24
ANTEQUERA,consulta externa,personas de 50 a 59 anos,2017-01-01,2,4,0,0,2,4,6
ANZALDO,consulta externa,personas de 50 a 59 anos,2017-01-01,25,57,3,14,28,71,99
APOLO,consulta externa,personas de 50 a 59 anos,2017-01-01,30,27,0,3,30,30,60
ARAMPAMPA,consulta externa,personas de 50 a 59 anos,2017-01-01,1,8,0,0,1,8,9
ARANI,consulta externa,personas de 50 a 59 anos,2017-01-01,7,9,1,0,8,9,17
ARBIETO,consulta externa,personas de 50 a 59 anos,2017-01-01,6,39,0,3,6,42,48
ARQUE,consulta externa,personas de 50 a 59 anos,2017-01-01,5,15,1,1,6,16,22
ASCENCION DE GUARAYOS,consulta externa,personas de 50 a 59 anos,2017-01-01,18,36,0,0,18,36,54
ATOCHA,consulta externa,personas de 50 a 59 anos,2017-01-01,127,106,21,19,148,125,273
AUCAPATA,consulta externa,personas de 50 a 59 anos,2017-01-01,29,17,1,0,30,17,47
AYATA,consulta externa,personas de 50 a 59 anos,2017-01-01,17,21,1,0,18,21,39
AYO AYO,consulta externa,personas de 50 a 59 anos,2017-01-01,13,20,0,1,13,21,34
