,group,variable,month,PERSONAS DE 20 A 39 AÑOS NUEVO,PERSONAS DE 20 A 39 AÑOS NUEVO,PERSONAS DE 20 A 39 AÑOS REPETIDO,PERSONAS DE 20 A 39 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 20 a 39 anos,2017-01-01,26,48,0,0,26,48,74
ACHACACHI,consulta externa,personas de 20 a 39 anos,2017-01-01,124,317,32,126,156,443,599
ACHOCALLA,consulta externa,personas de 20 a 39 anos,2017-01-01,25,144,0,0,25,144,169
AIQUILE,consulta externa,personas de 20 a 39 anos,2017-01-01,162,363,53,102,215,465,680
ALALAY,consulta externa,personas de 20 a 39 anos,2017-01-01,6,14,0,0,6,14,20
ALCALA,consulta externa,personas de 20 a 39 anos,2017-01-01,30,97,1,4,31,101,132
ALTO BENI,consulta externa,personas de 20 a 39 anos,2017-01-01,97,170,0,4,97,174,271
ANCORAIMES,consulta externa,personas de 20 a 39 anos,2017-01-01,26,70,6,5,32,75,107
ANDAMARCA,consulta externa,personas de 20 a 39 anos,2017-01-01,35,59,2,1,37,60,97
ANTEQUERA,consulta externa,personas de 20 a 39 anos,2017-01-01,17,22,0,0,17,22,39
ANZALDO,consulta externa,personas de 20 a 39 anos,2017-01-01,57,100,12,8,69,108,177
APOLO,consulta externa,personas de 20 a 39 anos,2017-01-01,56,170,1,8,57,178,235
ARAMPAMPA,consulta externa,personas de 20 a 39 anos,2017-01-01,20,24,0,0,20,24,44
ARANI,consulta externa,personas de 20 a 39 anos,2017-01-01,17,48,0,1,17,49,66
ARBIETO,consulta externa,personas de 20 a 39 anos,2017-01-01,29,167,2,10,31,177,208
ARQUE,consulta externa,personas de 20 a 39 anos,2017-01-01,23,71,0,0,23,71,94
ASCENCION DE GUARAYOS,consulta externa,personas de 20 a 39 anos,2017-01-01,45,131,0,0,45,131,176
ATOCHA,consulta externa,personas de 20 a 39 anos,2017-01-01,342,395,37,31,379,426,805
AUCAPATA,consulta externa,personas de 20 a 39 anos,2017-01-01,51,61,4,0,55,61,116
AYATA,consulta externa,personas de 20 a 39 anos,2017-01-01,24,82,1,7,25,89,114
AYO AYO,consulta externa,personas de 20 a 39 anos,2017-01-01,27,64,0,1,27,65,92
