,group,variable,month,PERSONAS DE 10 A 14 AÑOS NUEVO,PERSONAS DE 10 A 14 AÑOS NUEVO,PERSONAS DE 10 A 14 AÑOS REPETIDO,PERSONAS DE 10 A 14 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 10 a 14 anos,2017-01-01,5,7,0,1,5,8,13
ACHACACHI,consulta externa,personas de 10 a 14 anos,2017-01-01,25,31,11,8,36,39,75
ACHOCALLA,consulta externa,personas de 10 a 14 anos,2017-01-01,4,15,0,0,4,15,19
AIQUILE,consulta externa,personas de 10 a 14 anos,2017-01-01,41,46,5,15,46,61,107
ALALAY,consulta externa,personas de 10 a 14 anos,2017-01-01,1,2,0,0,1,2,3
ALCALA,consulta externa,personas de 10 a 14 anos,2017-01-01,14,10,0,0,14,10,24
ALTO BENI,consulta externa,personas de 10 a 14 anos,2017-01-01,23,8,1,0,24,8,32
ANCORAIMES,consulta externa,personas de 10 a 14 anos,2017-01-01,6,15,1,3,7,18,25
ANDAMARCA,consulta externa,personas de 10 a 14 anos,2017-01-01,6,10,0,0,6,10,16
ANTEQUERA,consulta externa,personas de 10 a 14 anos,2017-01-01,3,1,0,0,3,1,4
ANZALDO,consulta externa,personas de 10 a 14 anos,2017-01-01,8,14,3,7,11,21,32
APOLO,consulta externa,personas de 10 a 14 anos,2017-01-01,11,13,1,0,12,13,25
ARAMPAMPA,consulta externa,personas de 10 a 14 anos,2017-01-01,2,1,0,0,2,1,3
ARANI,consulta externa,personas de 10 a 14 anos,2017-01-01,14,11,0,0,14,11,25
ARBIETO,consulta externa,personas de 10 a 14 anos,2017-01-01,15,17,2,1,17,18,35
ARQUE,consulta externa,personas de 10 a 14 anos,2017-01-01,5,7,0,0,5,7,12
ASCENCION DE GUARAYOS,consulta externa,personas de 10 a 14 anos,2017-01-01,14,19,1,1,15,20,35
ATOCHA,consulta externa,personas de 10 a 14 anos,2017-01-01,58,73,4,7,62,80,142
AUCAPATA,consulta externa,personas de 10 a 14 anos,2017-01-01,16,16,1,0,17,16,33
AYATA,consulta externa,personas de 10 a 14 anos,2017-01-01,11,11,1,5,12,16,28
AYO AYO,consulta externa,personas de 10 a 14 anos,2017-01-01,12,8,0,0,12,8,20
