,group,variable,month,NINOS DE 6 MESES A < 1 AÑO NUEVO,NINOS DE 6 MESES A < 1 AÑO NUEVO,NINOS DE 6 MESES A < 1 AÑO REPETIDO,NINOS DE 6 MESES A < 1 AÑO REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,ninos de 6 meses a < 1 ano,2017-01-01,7,11,0,0,7,11,18
ACHACACHI,consulta externa,ninos de 6 meses a < 1 ano,2017-01-01,40,38,36,56,76,94,170
ACHOCALLA,consulta externa,ninos de 6 meses a < 1 ano,2017-01-01,21,24,0,0,21,24,45
AIQUILE,consulta externa,ninos de 6 meses a < 1 ano,2017-01-01,44,66,7,5,51,71,122
ALALAY,consulta externa,ninos de 6 meses a < 1 ano,2017-01-01,5,4,0,1,5,5,10
ALCALA,consulta externa,ninos de 6 meses a < 1 ano,2017-01-01,7,8,0,2,7,10,17
ALTO BENI,consulta externa,ninos de 6 meses a < 1 ano,2017-01-01,77,69,1,2,78,71,149
ANCORAIMES,consulta externa,ninos de 6 meses a < 1 ano,2017-01-01,17,22,2,2,19,24,43
ANDAMARCA,consulta externa,ninos de 6 meses a < 1 ano,2017-01-01,4,4,0,1,4,5,9
ANTEQUERA,consulta externa,ninos de 6 meses a < 1 ano,2017-01-01,6,3,0,0,6,3,9
ANZALDO,consulta externa,ninos de 6 meses a < 1 ano,2017-01-01,13,12,1,1,14,13,27
APOLO,consulta externa,ninos de 6 meses a < 1 ano,2017-01-01,54,47,24,32,78,79,157
ARAMPAMPA,consulta externa,ninos de 6 meses a < 1 ano,2017-01-01,4,6,0,0,4,6,10
ARANI,consulta externa,ninos de 6 meses a < 1 ano,2017-01-01,22,16,4,1,26,17,43
ARBIETO,consulta externa,ninos de 6 meses a < 1 ano,2017-01-01,52,59,1,3,53,62,115
ARQUE,consulta externa,ninos de 6 meses a < 1 ano,2017-01-01,24,31,0,0,24,31,55
ASCENCION DE GUARAYOS,consulta externa,ninos de 6 meses a < 1 ano,2017-01-01,104,112,5,0,109,112,221
ATOCHA,consulta externa,ninos de 6 meses a < 1 ano,2017-01-01,47,21,2,1,49,22,71
AUCAPATA,consulta externa,ninos de 6 meses a < 1 ano,2017-01-01,10,3,0,0,10,3,13
