,group,variable,month,PERSONAS DE 40 A 49 AÑOS NUEVO,PERSONAS DE 40 A 49 AÑOS NUEVO,PERSONAS DE 40 A 49 AÑOS REPETIDO,PERSONAS DE 40 A 49 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 40 a 49 anos,2017-01-01,10,26,0,0,10,26,36
ACHACACHI,consulta externa,personas de 40 a 49 anos,2017-01-01,44,69,12,35,56,104,160
ACHOCALLA,consulta externa,personas de 40 a 49 anos,2017-01-01,20,17,0,0,20,17,37
AIQUILE,consulta externa,personas de 40 a 49 anos,2017-01-01,57,101,25,53,82,154,236
ALALAY,consulta externa,personas de 40 a 49 anos,2017-01-01,1,6,0,0,1,6,7
ALCALA,consulta externa,personas de 40 a 49 anos,2017-01-01,15,40,1,2,16,42,58
ALTO BENI,consulta externa,personas de 40 a 49 anos,2017-01-01,41,46,4,2,45,48,93
ANCORAIMES,consulta externa,personas de 40 a 49 anos,2017-01-01,12,20,4,1,16,21,37
ANDAMARCA,consulta externa,personas de 40 a 49 anos,2017-01-01,11,30,0,2,11,32,43
ANTEQUERA,consulta externa,personas de 40 a 49 anos,2017-01-01,7,5,0,0,7,5,12
ANZALDO,consulta externa,personas de 40 a 49 anos,2017-01-01,37,51,5,10,42,61,103
APOLO,consulta externa,personas de 40 a 49 anos,2017-01-01,29,46,2,2,31,48,79
ARAMPAMPA,consulta externa,personas de 40 a 49 anos,2017-01-01,6,9,0,0,6,9,15
ARANI,consulta externa,personas de 40 a 49 anos,2017-01-01,3,10,1,0,4,10,14
ARBIETO,consulta externa,personas de 40 a 49 anos,2017-01-01,18,50,3,1,21,51,72
ARQUE,consulta externa,personas de 40 a 49 anos,2017-01-01,9,15,0,0,9,15,24
ASCENCION DE GUARAYOS,consulta externa,personas de 40 a 49 anos,2017-01-01,18,31,0,0,18,31,49
ATOCHA,consulta externa,personas de 40 a 49 anos,2017-01-01,205,196,57,18,262,214,476
AUCAPATA,consulta externa,personas de 40 a 49 anos,2017-01-01,16,28,0,0,16,28,44
AYATA,consulta externa,personas de 40 a 49 anos,2017-01-01,18,25,0,1,18,26,44
AYO AYO,consulta externa,personas de 40 a 49 anos,2017-01-01,14,22,2,0,16,22,38
