,group,variable,month,PERSONAS DE 60 AÑOS Y MÁS NUEVO,PERSONAS DE 60 AÑOS Y MÁS NUEVO,PERSONAS DE 60 AÑOS Y MÁS REPETIDO,PERSONAS DE 60 AÑOS Y MÁS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 60 anos y mas,2017-01-01,201,309,1,2,202,311,513
ACHACACHI,consulta externa,personas de 60 anos y mas,2017-01-01,706,719,351,374,1057,1093,2150
ACHOCALLA,consulta externa,personas de 60 anos y mas,2017-01-01,256,283,1,1,257,284,541
AIQUILE,consulta externa,personas de 60 anos y mas,2017-01-01,307,389,488,612,795,1001,1796
ALALAY,consulta externa,personas de 60 anos y mas,2017-01-01,65,84,0,1,65,85,150
ALCALA,consulta externa,personas de 60 anos y mas,2017-01-01,88,129,2,4,90,133,223
ALTO BENI,consulta externa,personas de 60 anos y mas,2017-01-01,428,262,31,11,459,273,732
ANCORAIMES,consulta externa,personas de 60 anos y mas,2017-01-01,354,436,102,121,456,557,1013
ANDAMARCA,consulta externa,personas de 60 anos y mas,2017-01-01,234,266,6,8,240,274,514
ANTEQUERA,consulta externa,personas de 60 anos y mas,2017-01-01,56,44,1,2,57,46,103
ANZALDO,consulta externa,personas de 60 anos y mas,2017-01-01,312,398,63,55,375,453,828
APOLO,consulta externa,personas de 60 anos y mas,2017-01-01,238,204,21,12,259,216,475
ARAMPAMPA,consulta externa,personas de 60 anos y mas,2017-01-01,98,120,0,0,98,120,218
ARANI,consulta externa,personas de 60 anos y mas,2017-01-01,111,215,116,191,227,406,633
ARBIETO,consulta externa,personas de 60 anos y mas,2017-01-01,422,696,42,78,464,774,1238
ARQUE,consulta externa,personas de 60 anos y mas,2017-01-01,167,260,21,26,188,286,474
ASCENCION DE GUARAYOS,consulta externa,personas de 60 anos y mas,2017-01-01,455,406,7,14,462,420,882
ATOCHA,consulta externa,personas de 60 anos y mas,2017-01-01,142,168,29,61,171,229,400
AUCAPATA,consulta externa,personas de 60 anos y mas,2017-01-01,124,119,1,2,125,121,246
AYATA,consulta externa,personas de 60 anos y mas,2017-01-01,166,165,15,12,181,177,358
AYO AYO,consulta externa,personas de 60 anos y mas,2017-01-01,279,301,44,40,323,341,664
