,group,variable,month,MENORES DE 6 MESES NUEVO,MENORES DE 6 MESES NUEVO,MENORES DE 6 MESES REPETIDO,MENORES DE 6 MESES REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,menores de 6 meses,2017-01-01,11,11,0,0,11,11,22
ACHACACHI,consulta externa,menores de 6 meses,2017-01-01,74,57,45,39,119,96,215
ACHOCALLA,consulta externa,menores de 6 meses,2017-01-01,30,25,1,0,31,25,56
AIQUILE,consulta externa,menores de 6 meses,2017-01-01,55,49,8,8,63,57,120
ALALAY,consulta externa,menores de 6 meses,2017-01-01,4,2,2,1,6,3,9
ALCALA,consulta externa,menores de 6 meses,2017-01-01,7,6,0,0,7,6,13
ALTO BENI,consulta externa,menores de 6 meses,2017-01-01,46,52,0,0,46,52,98
ANCORAIMES,consulta externa,menores de 6 meses,2017-01-01,8,9,1,0,9,9,18
ANDAMARCA,consulta externa,menores de 6 meses,2017-01-01,7,4,0,2,7,6,13
ANTEQUERA,consulta externa,menores de 6 meses,2017-01-01,7,1,0,1,7,2,9
ANZALDO,consulta externa,menores de 6 meses,2017-01-01,8,18,0,1,8,19,27
APOLO,consulta externa,menores de 6 meses,2017-01-01,45,56,19,22,64,78,142
ARAMPAMPA,consulta externa,menores de 6 meses,2017-01-01,7,6,0,0,7,6,13
ARANI,consulta externa,menores de 6 meses,2017-01-01,22,10,3,2,25,12,37
ARBIETO,consulta externa,menores de 6 meses,2017-01-01,50,29,2,3,52,32,84
ARQUE,consulta externa,menores de 6 meses,2017-01-01,20,19,0,0,20,19,39
ASCENCION DE GUARAYOS,consulta externa,menores de 6 meses,2017-01-01,70,66,2,1,72,67,139
ATOCHA,consulta externa,menores de 6 meses,2017-01-01,28,35,1,1,29,36,65
AUCAPATA,consulta externa,menores de 6 meses,2017-01-01,6,3,0,0,6,3,9
AYATA,consulta externa,menores de 6 meses,2017-01-01,14,6,0,0,14,6,20
AYO AYO,consulta externa,menores de 6 meses,2017-01-01,9,5,1,0,10,5,15
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,menores de 6 meses,2017-01-01,64,47,3,3,67,50,117
AZURDUY,consulta externa,menores de 6 meses,2017-01-01,37,33,1,0,38,33,71
