,group,variable,month,PERSONAS DE 5 A 9 AÑOS NUEVO,PERSONAS DE 5 A 9 AÑOS NUEVO,PERSONAS DE 5 A 9 AÑOS REPETIDO,PERSONAS DE 5 A 9 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 5 a 9 anos,2017-01-01,8,8,0,0,8,8,16
ACHACACHI,consulta externa,personas de 5 a 9 anos,2017-01-01,44,41,4,8,48,49,97
ACHOCALLA,consulta externa,personas de 5 a 9 anos,2017-01-01,18,29,0,0,18,29,47
AIQUILE,consulta externa,personas de 5 a 9 anos,2017-01-01,66,38,7,4,73,42,115
ALALAY,consulta externa,personas de 5 a 9 anos,2017-01-01,1,4,0,0,1,4,5
ALCALA,consulta externa,personas de 5 a 9 anos,2017-01-01,15,18,0,0,15,18,33
ALTO BENI,consulta externa,personas de 5 a 9 anos,2017-01-01,30,29,1,3,31,32,63
ANCORAIMES,consulta externa,personas de 5 a 9 anos,2017-01-01,17,7,1,1,18,8,26
ANDAMARCA,consulta externa,personas de 5 a 9 anos,2017-01-01,8,4,1,0,9,4,13
ANTEQUERA,consulta externa,personas de 5 a 9 anos,2017-01-01,6,6,0,0,6,6,12
ANZALDO,consulta externa,personas de 5 a 9 anos,2017-01-01,2,14,1,0,3,14,17
APOLO,consulta externa,personas de 5 a 9 anos,2017-01-01,20,13,1,0,21,13,34
ARAMPAMPA,consulta externa,personas de 5 a 9 anos,2017-01-01,1,6,0,0,1,6,7
ARANI,consulta externa,personas de 5 a 9 anos,2017-01-01,15,12,0,0,15,12,27
ARBIETO,consulta externa,personas de 5 a 9 anos,2017-01-01,28,36,3,3,31,39,70
ARQUE,consulta externa,personas de 5 a 9 anos,2017-01-01,6,6,0,0,6,6,12
ASCENCION DE GUARAYOS,consulta externa,personas de 5 a 9 anos,2017-01-01,38,48,0,1,38,49,87
ATOCHA,consulta externa,personas de 5 a 9 anos,2017-01-01,72,73,9,4,81,77,158
AUCAPATA,consulta externa,personas de 5 a 9 anos,2017-01-01,10,18,2,2,12,20,32
AYATA,consulta externa,personas de 5 a 9 anos,2017-01-01,14,11,1,0,15,11,26
AYO AYO,consulta externa,personas de 5 a 9 anos,2017-01-01,10,5,1,0,11,5,16
