,group,variable,month,TRATAMIENTOS ESPECÍFICOS PARA MALARIA GRAVE VIVAX,TRATAMIENTOS ESPECÍFICOS PARA MALARIA GRAVE VIVAX,TRATAMIENTOS ESPECÍFICOS PARA MALARIA GRAVE FALCIPARUM,TRATAMIENTOS ESPECÍFICOS PARA MALARIA GRAVE FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
YACUIBA,malaria,tratamientos especificos para malaria grave,2018-01-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
RIBERALTA,malaria,tratamientos especificos para malaria grave,2018-03-01,14.0,2.0,0.0,0.0,14.0,2.0,16.0
SAN BORJA,malaria,tratamientos especificos para malaria grave,2018-03-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
RIBERALTA,malaria,tratamientos especificos para malaria grave,2018-04-01,12.0,12.0,0.0,0.0,12.0,12.0,24.0
SANTUARIO DE QUILLACAS,malaria,tratamientos especificos para malaria grave,2018-04-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
YACUIBA,malaria,tratamientos especificos para malaria grave,2018-04-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
RIBERALTA,malaria,tratamientos especificos para malaria grave,2018-05-01,11.0,10.0,0.0,0.0,11.0,10.0,21.0
SAN JOAQUIN,malaria,tratamientos especificos para malaria grave,2018-05-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
RIBERALTA,malaria,tratamientos especificos para malaria grave,2018-06-01,12.0,5.0,0.0,0.0,12.0,5.0,17.0
SAN JOAQUIN,malaria,tratamientos especificos para malaria grave,2018-06-01,2.0,0.0,0.0,0.0,2.0,0.0,2.0
GUAYARAMERIN,malaria,tratamientos especificos para malaria grave,2018-07-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
RIBERALTA,malaria,tratamientos especificos para malaria grave,2018-07-01,7.0,2.0,0.0,0.0,7.0,2.0,9.0
GUAYARAMERIN,malaria,tratamientos especificos para malaria grave,2018-08-01,2.0,2.0,0.0,0.0,2.0,2.0,4.0
RIBERALTA,malaria,tratamientos especificos para malaria grave,2018-08-01,6.0,7.0,0.0,0.0,6.0,7.0,13.0
RIBERALTA,malaria,tratamientos especificos para malaria grave,2018-09-01,7.0,5.0,0.0,0.0,7.0,5.0,12.0
RIBERALTA,malaria,tratamientos especificos para malaria grave,2018-10-01,14.0,18.0,0.0,0.0,14.0,18.0,32.0
YACUIBA,malaria,tratamientos especificos para malaria grave,2018-10-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
RIBERALTA,malaria,tratamientos especificos para malaria grave,2018-11-01,46.0,30.0,0.0,0.0,46.0,30.0,76.0
RIBERALTA,malaria,tratamientos especificos para malaria grave,2018-12-01,4.0,0.0,0.0,0.0,4.0,0.0,4.0
