,group,variable,month,DE 5 AÑOS Y MÁS VIVAX,DE 5 AÑOS Y MÁS VIVAX,DE 5 AÑOS Y MÁS FALCIPARUM,DE 5 AÑOS Y MÁS FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
BETANZOS,malaria,de 5 anos y mas,2018-01-01,74,110,0,0,74,110,184
CARANAVI,malaria,de 5 anos y mas,2018-01-01,1,0,0,0,1,0,1
COBIJA,malaria,de 5 anos y mas,2018-01-01,1,0,0,0,1,0,1
CONCEPCION,malaria,de 5 anos y mas,2018-01-01,3,7,0,0,3,7,10
EUREKA (SANTOS MERCADO),malaria,de 5 anos y mas,2018-01-01,1,0,0,0,1,0,1
FILADELFIA,malaria,de 5 anos y mas,2018-01-01,2,1,0,0,2,1,3
GUAYARAMERIN,malaria,de 5 anos y mas,2018-01-01,45,13,0,0,45,13,58
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 5 anos y mas,2018-01-01,6,4,0,0,6,4,10
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 5 anos y mas,2018-01-01,4,8,0,0,4,8,12
PORVENIR,malaria,de 5 anos y mas,2018-01-01,1,3,0,0,1,3,4
PUERTO GONZALO MORENO,malaria,de 5 anos y mas,2018-01-01,2,0,0,0,2,0,2
PUERTO RICO,malaria,de 5 anos y mas,2018-01-01,3,1,0,0,3,1,4
PUERTO SUAREZ,malaria,de 5 anos y mas,2018-01-01,5,8,0,0,5,8,13
REYES,malaria,de 5 anos y mas,2018-01-01,3,0,0,0,3,0,3
RIBERALTA,malaria,de 5 anos y mas,2018-01-01,101,22,0,0,101,22,123
RURRENABAQUE,malaria,de 5 anos y mas,2018-01-01,1,1,0,0,1,1,2
SAN LORENZO(PND),malaria,de 5 anos y mas,2018-01-01,15,12,0,0,15,12,27
SAN MATIAS,malaria,de 5 anos y mas,2018-01-01,8,7,0,0,8,7,15
SANTA CRUZ DE LA SIERRA,malaria,de 5 anos y mas,2018-01-01,0,1,0,0,0,1,1
SANTA ROSA,malaria,de 5 anos y mas,2018-01-01,2,0,0,0,2,0,2
YACUIBA,malaria,de 5 anos y mas,2018-01-01,1,2,0,0,1,2,3
COBIJA,malaria,de 5 anos y mas,2018-02-01,0,1,0,0,0,1,1
