,group,variable,month,MUJER EMBARAZADA VIVAX,MUJER EMBARAZADA VIVAX,MUJER EMBARAZADA FALCIPARUM,MUJER EMBARAZADA FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
COBIJA,malaria,mujer embarazada,2018-01-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
RIBERALTA,malaria,mujer embarazada,2018-01-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
SAN LORENZO(PND),malaria,mujer embarazada,2018-01-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
RIBERALTA,malaria,mujer embarazada,2018-02-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
SAIPINA,malaria,mujer embarazada,2018-02-01,0.0,7.0,0.0,0.0,0.0,7.0,7.0
ENTRE RIOS TRJ,malaria,mujer embarazada,2018-03-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
POROMA,malaria,mujer embarazada,2018-03-01,0.0,0.0,0.0,3.0,0.0,3.0,3.0
SAIPINA,malaria,mujer embarazada,2018-03-01,0.0,16.0,0.0,0.0,0.0,16.0,16.0
NACEBE (SANTA ROSA DEL ABUNA),malaria,mujer embarazada,2018-05-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
RIBERALTA,malaria,mujer embarazada,2018-08-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
REYES,malaria,mujer embarazada,2018-09-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
RIBERALTA,malaria,mujer embarazada,2018-09-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
SAN LORENZO(PND),malaria,mujer embarazada,2018-09-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
SUCRE,malaria,mujer embarazada,2018-09-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
TARIJA,malaria,mujer embarazada,2018-09-01,0.0,6.0,0.0,4.0,0.0,10.0,10.0
RIBERALTA,malaria,mujer embarazada,2018-10-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
SUCRE,malaria,mujer embarazada,2018-10-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
RIBERALTA,malaria,mujer embarazada,2018-11-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
