,group,variable,month,DE 1 A MENORES DE 5 AÑOS VIVAX,DE 1 A MENORES DE 5 AÑOS VIVAX,DE 1 A MENORES DE 5 AÑOS FALCIPARUM,DE 1 A MENORES DE 5 AÑOS FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
BETANZOS,malaria,de 1 a menores de 5 anos,2018-01-01,11,8,0,0,11,8,19
CHULUMANI (V. DE LA LIBERTAD),malaria,de 1 a menores de 5 anos,2018-01-01,0,1,0,0,0,1,1
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2018-01-01,2,1,0,0,2,1,3
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 1 a menores de 5 anos,2018-01-01,1,0,0,0,1,0,1
PORVENIR,malaria,de 1 a menores de 5 anos,2018-01-01,0,1,0,0,0,1,1
PUERTO RICO,malaria,de 1 a menores de 5 anos,2018-01-01,0,1,0,0,0,1,1
PUERTO SUAREZ,malaria,de 1 a menores de 5 anos,2018-01-01,2,0,0,0,2,0,2
RIBERALTA,malaria,de 1 a menores de 5 anos,2018-01-01,3,4,0,0,3,4,7
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2018-01-01,2,2,0,0,2,2,4
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2018-02-01,2,3,0,0,2,3,5
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 1 a menores de 5 anos,2018-02-01,0,2,0,0,0,2,2
RIBERALTA,malaria,de 1 a menores de 5 anos,2018-02-01,3,10,0,0,3,10,13
SAIPINA,malaria,de 1 a menores de 5 anos,2018-02-01,0,2,0,0,0,2,2
SENA,malaria,de 1 a menores de 5 anos,2018-02-01,2,1,0,0,2,1,3
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2018-03-01,1,1,0,0,1,1,2
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 1 a menores de 5 anos,2018-03-01,0,1,0,0,0,1,1
RIBERALTA,malaria,de 1 a menores de 5 anos,2018-03-01,5,2,0,0,5,2,7
SAIPINA,malaria,de 1 a menores de 5 anos,2018-03-01,1,0,0,0,1,0,1
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2018-03-01,2,0,0,0,2,0,2
