,group,variable,month,MENORES DE 1 AÑO VIVAX,MENORES DE 1 AÑO VIVAX,MENORES DE 1 AÑO FALCIPARUM,MENORES DE 1 AÑO FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
CHULUMANI (V. DE LA LIBERTAD),malaria,menores de 1 ano,2018-01-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
RIBERALTA,malaria,menores de 1 ano,2018-01-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
PUERTO GONZALO MORENO,malaria,menores de 1 ano,2018-03-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SAIPINA,malaria,menores de 1 ano,2018-03-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
PUERTO RICO,malaria,menores de 1 ano,2018-04-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
RIBERALTA,malaria,menores de 1 ano,2018-05-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
RIBERALTA,malaria,menores de 1 ano,2018-06-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
RIBERALTA,malaria,menores de 1 ano,2018-07-01,1.0,3.0,0.0,0.0,1.0,3.0,4.0
RIBERALTA,malaria,menores de 1 ano,2018-08-01,2.0,1.0,0.0,0.0,2.0,1.0,3.0
SUCRE,malaria,menores de 1 ano,2018-08-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
RIBERALTA,malaria,menores de 1 ano,2018-09-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SUCRE,malaria,menores de 1 ano,2018-09-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
RIBERALTA,malaria,menores de 1 ano,2018-10-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
GUAYARAMERIN,malaria,menores de 1 ano,2018-11-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
LA PAZ,malaria,menores de 1 ano,2018-12-01,4.0,0.0,3.0,0.0,7.0,0.0,7.0
NUEVO MANOA (NUEVA ESPERANZA),malaria,menores de 1 ano,2018-12-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
