municipality,group,variable,month,Pacientes derivados de la comunidad o medicina tradicional,TOTAL
CAMARGO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-01-01,1,1
CAMATAQUI (C. VILLA ABECIA),refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-01-01,4,4
CHARAGUA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-01-01,4,4
COCHABAMBA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-01-01,1,1
EL VILLAR,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-01-01,3,3
HUACARETA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-01-01,15,15
ICLA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-01-01,6,6
MACHARETI,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-01-01,1,1
MOJOCOYA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-01-01,4,4
MONTEAGUDO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-01-01,9,9
POROMA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-01-01,8,8
PRESTO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-01-01,4,4
PUERTO SUAREZ,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-01-01,1,1
RURRENABAQUE,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-01-01,1,1
SAN JULIAN,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-01-01,4,4
SAN LUCAS,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-01-01,9,9
SIPE SIPE,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-01-01,1,1
SOPACHUY,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-01-01,2,2
SUCRE,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-01-01,15,15
TARABUCO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-01-01,3,3
TARVITA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-01-01,36,36
TOMINA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-01-01,7,7
VILLA CHARCAS,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-01-01,5,5
VILLA VACA GUZMAN (MUYUPAMPA),refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-01-01,2,2
YAMPARAEZ,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-01-01,11,11
YOTALA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-01-01,1,1
YUNCHARA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-01-01,2,2
ZUDAÑEZ,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-01-01,6,6
AZURDUY,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-02-01,6,6
BAURES,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-02-01,1,1
CAMARGO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-02-01,1,1
CAMATAQUI (C. VILLA ABECIA),refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-02-01,7,7
CHARAGUA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-02-01,2,2
EL PUENTE(TJA),refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-02-01,1,1
EL VILLAR,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-02-01,12,12
HUACARETA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-02-01,8,8
ICLA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-02-01,2,2
LAS CARRERAS,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-02-01,1,1
MOJOCOYA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-02-01,11,11
MONTEAGUDO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-02-01,12,12
PADCAYA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-02-01,2,2
PADILLA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-02-01,1,1
POROMA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-02-01,8,8
PRESTO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-02-01,2,2
SAN LUCAS,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-02-01,7,7
SUCRE,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-02-01,15,15
TARABUCO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-02-01,3,3
TARIJA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-02-01,1,1
TARVITA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-02-01,35,35
TOMINA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-02-01,3,3
VILLA CHARCAS,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-02-01,3,3
VILLA SERRANO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-02-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-02-01,1,1
YAMPARAEZ,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-02-01,13,13
YOTALA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-02-01,2,2
ZUDAÑEZ,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-02-01,7,7
AZURDUY,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-03-01,36,36
CAMARGO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-03-01,1,1
CAMATAQUI (C. VILLA ABECIA),refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-03-01,4,4
CHARAGUA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-03-01,1,1
EL VILLAR,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-03-01,7,7
HUACARETA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-03-01,13,13
ICLA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-03-01,5,5
MAGDALENA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-03-01,1,1
MOJOCOYA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-03-01,12,12
MONTEAGUDO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-03-01,22,22
PADCAYA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-03-01,1,1
PADILLA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-03-01,3,3
POROMA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-03-01,6,6
PRESTO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-03-01,6,6
SAN LUCAS,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-03-01,10,10
SAN RAFAEL,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-03-01,1,1
SOPACHUY,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-03-01,3,3
SUCRE,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-03-01,16,16
TARABUCO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-03-01,6,6
TARIJA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-03-01,1,1
TARVITA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-03-01,29,29
TOMINA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-03-01,3,3
VILLA CHARCAS,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-03-01,8,8
YAMPARAEZ,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-03-01,15,15
ZUDAÑEZ,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-03-01,1,1
AZURDUY,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-04-01,25,25
BERMEJO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-04-01,1,1
CAMARGO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-04-01,1,1
CAMATAQUI (C. VILLA ABECIA),refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-04-01,4,4
CHARAGUA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-04-01,3,3
EL VILLAR,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-04-01,7,7
HUACARETA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-04-01,13,13
ICLA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-04-01,3,3
LA PAZ,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-04-01,1,1
MACHARETI,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-04-01,2,2
MOJOCOYA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-04-01,8,8
MONTEAGUDO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-04-01,3,3
PADCAYA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-04-01,2,2
POROMA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-04-01,12,12
PRESTO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-04-01,5,5
SAN JULIAN,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-04-01,3,3
SAN LUCAS,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-04-01,14,14
SAN RAFAEL,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-04-01,2,2
SUCRE,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-04-01,17,17
TARABUCO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-04-01,4,4
TARIJA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-04-01,1,1
TARVITA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-04-01,24,24
TOMINA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-04-01,8,8
VILLA CHARCAS,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-04-01,4,4
VILLA SERRANO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2021-04-01,6,6
