municipality,group,variable,month,PCD referidas a Unidades de Calificación de Discapacidad.,TOTAL
ACHOCALLA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2021-01-01,1,1
ATOCHA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2021-01-01,1,1
BUENA VISTA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2021-01-01,6,6
COCHABAMBA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2021-01-01,6,6
EL ALTO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2021-01-01,4,4
LA PAZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2021-01-01,1,1
MONTERO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2021-01-01,3,3
ORURO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2021-01-01,1,1
SAIPINA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2021-01-01,1,1
SAN LUCAS,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2021-01-01,1,1
SAPAHAQUI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2021-01-01,1,1
SUCRE,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2021-01-01,3,3
TARIJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2021-01-01,43,43
ACHOCALLA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2021-02-01,2,2
CARANAVI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2021-02-01,8,8
COCHABAMBA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2021-02-01,4,4
EL ALTO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2021-02-01,8,8
GUANAY,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2021-02-01,1,1
MONTERO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2021-02-01,8,8
ORURO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2021-02-01,10,10
PORONGO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2021-02-01,1,1
