municipality,group,variable,month,Pacientes contrareferidos al establecimiento,TOTAL
AIQUILE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,3,3
ALCALA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,2,2
ARBIETO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,2,2
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,10,10
ATOCHA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,7,7
BERMEJO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,2,2
BETANZOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,3,3
BUENA VISTA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,1,1
CAMARGO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,1,1
CAMIRI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,36,36
CARANAVI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,1,1
CARAPARI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,2,2
CHALLAPATA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,1,1
CHARAGUA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,1,1
CHIMORE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,2,2
COBIJA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,63,63
COCHABAMBA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,354,354
COMARAPA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,6,6
CORIPATA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,1,1
COTAGAITA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,2,2
COTOCA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,1,1
EL ALTO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,259,259
EL PUENTE(TJA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,1,1
EL TORNO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,5,5
ENTRE RIOS CBBA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,2,2
FERNANDEZ ALONSO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,3,3
FILADELFIA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,3,3
GUAYARAMERIN,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,5,5
HUANUNI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,13,13
ICLA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,2,2
INCAHUASI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,2,2
IXIAMAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,1,1
LA PAZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,482,482
MACHARETI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,1,1
MAIRANA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,3,3
MIZQUE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,2,2
MOJOCOYA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,1,1
MONTERO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,46,46
ORURO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,162,162
PADILLA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,4,4
POOPO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,3,3
PORONGO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,1,1
PORTACHUELO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,6,6
POTOSI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,2,2
PRESTO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,8,8
PUERTO GONZALO MORENO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,2,2
PUERTO VILLARROEL,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,3,3
PUNATA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,6,6
QUILLACOLLO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,23,23
RAVELO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,4,4
RIBERALTA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,29,29
SACABA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,7,7
SAN ANTONIO DE ESMORUCO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,4,4
SAN BORJA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,1,1
SAN BUENA VENTURA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,4,4
SAN CARLOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,4,4
SAN LORENZO(PND),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,1,1
SAN LORENZO(TJA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,1,1
SAN LUCAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,14,14
SAN MIGUEL DE VELASCO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,5,5
SAN PEDRO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,4,4
SAN RAFAEL,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,2,2
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,434,434
SIPE SIPE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,2,2
SOPACHUY,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,4,4
SUCRE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,120,120
TARABUCO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,3,3
TARATA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,1,1
TARIJA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,11,11
TARVITA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,5,5
TIAHUANACU,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,1,1
TOMINA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,10,10
TRINIDAD,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,28,28
TUPIZA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,42,42
UYUNI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,1,1
VIACHA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,1,1
VILA VILA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,1,1
VILLA MONTES,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,4,4
VILLA SERRANO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,1,1
