municipality,group,variable,month,Pacientes referidos recibidos por el establecimiento,TOTAL
ACHACACHI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,147,147
ACHOCALLA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,1,1
AIQUILE,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,6,6
ANZALDO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,1,1
APOLO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,2,2
ARANI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,4,4
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,23,23
ATOCHA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,2,2
AYATA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,1,1
AYO AYO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,8,8
AZURDUY,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,5,5
BERMEJO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,397,397
BETANZOS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,2,2
BOYUIBE,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,1,1
CABEZAS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,7,7
CAMARGO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,43,43
CAMIRI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,66,66
CAPINOTA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,16,16
CARACOLLO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,1,1
CARANAVI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,45,45
CARAPARI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,25,25
CHALLAPATA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,3,3
CHARAGUA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,19,19
CHIMORE,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,10,10
CHULUMANI (V. DE LA LIBERTAD),refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,9,9
CLIZA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,22,22
COBIJA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,69,69
COCAPATA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,2,2
COCHABAMBA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,2119,2119
COLCAPIRHUA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,34,34
COLOMI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,2,2
COLQUIRI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,1,1
COMARAPA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,15,15
COMBAYA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,2,2
COPACABANA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,1,1
CORO CORO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,2,2
COROICO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,73,73
COTAGAITA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,1,1
COTOCA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,15,15
CUEVO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,2,2
CULPINA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,17,17
EL ALTO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,1430,1430
EL TORNO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,168,168
ENTRE RIOS TRJ,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,5,5
ENTRE RIOS CBBA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,25,25
ESCOMA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,1,1
FERNANDEZ ALONSO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,2,2
GENERAL SAAVEDRA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,3,3
GUANAY,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,5,5
GUAYARAMERIN,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,15,15
GUTIERREZ,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,5,5
HUACARETA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,1,1
HUANUNI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,8,8
HUARINA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,1,1
ICLA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,3,3
INCAHUASI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,4,4
IRUPANA (VILLA DE LANZA),refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,3,3
LA ASUNTA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,9,9
LA GUARDIA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,89,89
LA PAZ,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,5150,5150
LAJA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,5,5
LAS CARRERAS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,1,1
LLALLAGUA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,51,51
LLICA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,1,1
MACHARETI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,3,3
MAIRANA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,6,6
MAPIRI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,1,1
MECAPACA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,5,5
MINEROS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,1,1
MIZQUE,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,41,41
MOJOCOYA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,3,3
MONTEAGUDO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,45,45
MONTERO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,1610,1610
MORO MORO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,1,1
MOROCHATA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,4,4
OKINAWA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,18,18
ORURO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,1164,1164
PADILLA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,25,25
PAILON,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,10,10
PALCA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,1,1
PALOS BLANCOS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,14,14
PAMPA GRANDE,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,3,3
PATACAMAYA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,51,51
POJO (CBBA),refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,2,2
PORONGO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,2,2
PORTACHUELO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,6,6
POSTRER VALLE,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,2,2
POTOSI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,571,571
PRESTO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,2,2
PUCARA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,1,1
PUCARANI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2021-01-01,1,1
