municipality,group,variable,month,PCD referidos a Servicios/Centros de Rehabilitación,TOTAL
SUCRE,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2021-01-01,1,1
TARIJA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2021-01-01,1,1
RIBERALTA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2021-02-01,1,1
VILLA CHARCAS,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2021-02-01,2,2
LA PAZ,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2021-03-01,2,2
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2021-03-01,2,2
EL ALTO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2021-04-01,1,1
ORURO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2021-04-01,1,1
ORURO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2021-05-01,3,3
TARIJA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2021-05-01,2,2
VILA VILA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2021-05-01,1,1
EL ALTO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2021-06-01,3,3
LLALLAGUA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2021-06-01,2,2
ORURO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2021-06-01,2,2
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2021-06-01,2,2
TARIJA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2021-06-01,4,4
LA PAZ,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2021-07-01,7,7
LLALLAGUA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2021-07-01,1,1
MONTERO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2021-07-01,4,4
TARIJA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2021-07-01,1,1
EL ALTO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2021-08-01,2,2
LA PAZ,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2021-08-01,2,2
MONTEAGUDO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2021-08-01,1,1
MONTERO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2021-08-01,1,1
SAN LORENZO(TJA),refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2021-08-01,1,1
SAN LUCAS,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2021-08-01,1,1
TARIJA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2021-08-01,5,5
LA PAZ,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2021-09-01,114,114
MONTERO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2021-09-01,24,24
SACABA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2021-09-01,2,2
TARIJA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2021-09-01,1,1
WARNES,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2021-09-01,1,1
COMARAPA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2021-10-01,1,1
MONTERO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2021-10-01,7,7
SAN LORENZO(TJA),refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2021-10-01,1,1
TARIJA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2021-10-01,6,6
VILA VILA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2021-10-01,1,1
WARNES,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2021-10-01,93,93
CARANAVI,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2021-11-01,4,4
EL ALTO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2021-11-01,1,1
EL CHORO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2021-11-01,1,1
MONTERO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2021-11-01,5,5
ORURO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2021-11-01,1,1
TARIJA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2021-11-01,2,2
CARANAVI,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2021-12-01,1,1
MONTERO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2021-12-01,7,7
SAN LORENZO(TJA),refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2021-12-01,1,1
TARIJA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2021-12-01,10,10
URIONDO (A. CONCEPCION),refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2021-12-01,2,2
