municipality,group,variable,month,Pacientes referidos a otros establecimientos,TOTAL
ACACIO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2021-01-01,1,1
ACHACACHI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2021-01-01,134,134
ACHOCALLA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2021-01-01,37,37
AIQUILE,refencias y contrareferencias,pacientes referidos a otros establecimientos,2021-01-01,48,48
ALCALA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2021-01-01,14,14
ALTO BENI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2021-01-01,1,1
ANCORAIMES,refencias y contrareferencias,pacientes referidos a otros establecimientos,2021-01-01,5,5
ANDAMARCA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2021-01-01,5,5
ANTEQUERA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2021-01-01,1,1
ANZALDO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2021-01-01,10,10
APOLO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2021-01-01,17,17
ARANI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2021-01-01,29,29
ARBIETO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2021-01-01,16,16
ARQUE,refencias y contrareferencias,pacientes referidos a otros establecimientos,2021-01-01,7,7
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes referidos a otros establecimientos,2021-01-01,34,34
ATOCHA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2021-01-01,131,131
AUCAPATA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2021-01-01,3,3
AYATA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2021-01-01,4,4
AYO AYO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2021-01-01,10,10
AYOPAYA (V. DE INDEPENDENCIA),refencias y contrareferencias,pacientes referidos a otros establecimientos,2021-01-01,32,32
AZURDUY,refencias y contrareferencias,pacientes referidos a otros establecimientos,2021-01-01,19,19
BATALLAS,refencias y contrareferencias,pacientes referidos a otros establecimientos,2021-01-01,21,21
BAURES,refencias y contrareferencias,pacientes referidos a otros establecimientos,2021-01-01,10,10
BELEN DE URMIRI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2021-01-01,1,1
BELLA FLOR,refencias y contrareferencias,pacientes referidos a otros establecimientos,2021-01-01,8,8
BERMEJO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2021-01-01,396,396
BETANZOS,refencias y contrareferencias,pacientes referidos a otros establecimientos,2021-01-01,62,62
BOLIVAR,refencias y contrareferencias,pacientes referidos a otros establecimientos,2021-01-01,2,2
BOLPEBRA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2021-01-01,5,5
BOYUIBE,refencias y contrareferencias,pacientes referidos a otros establecimientos,2021-01-01,6,6
BUENA VISTA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2021-01-01,43,43
CABEZAS,refencias y contrareferencias,pacientes referidos a otros establecimientos,2021-01-01,27,27
CAIROMA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2021-01-01,4,4
"CAIZA ""D""",refencias y contrareferencias,pacientes referidos a otros establecimientos,2021-01-01,9,9
CAJUATA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2021-01-01,17,17
CALACOTO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2021-01-01,1,1
CALAMARCA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2021-01-01,5,5
CAMARGO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2021-01-01,23,23
CAMATAQUI (C. VILLA ABECIA),refencias y contrareferencias,pacientes referidos a otros establecimientos,2021-01-01,6,6
CAMIRI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2021-01-01,77,77
CAPINOTA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2021-01-01,50,50
CAQUIAVIRI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2021-01-01,2,2
