municipality,group,variable,month,Pacientes referidos del establecimiento a la medicina tradicional,TOTAL
CONCEPCION,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-01-01,1,1
EL ALTO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-01-01,7,7
LAJA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-01-01,1,1
PADCAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-01-01,1,1
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-01-01,4,4
RIBERALTA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-01-01,3,3
SAN JULIAN,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-01-01,4,4
SAN LUCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-01-01,2,2
ARANI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-02-01,1,1
CAMATAQUI (C. VILLA ABECIA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-02-01,1,1
INCAHUASI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-02-01,3,3
PADCAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-02-01,1,1
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-02-01,3,3
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-02-01,9,9
PADCAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-03-01,1,1
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-03-01,8,8
RIBERALTA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-03-01,1,1
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-03-01,2,2
EL ALTO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-04-01,6,6
INCAHUASI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-04-01,3,3
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-04-01,7,7
SAN JULIAN,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-04-01,3,3
TARIJA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-04-01,1,1
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-04-01,3,3
EL ALTO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-05-01,4,4
HUACARETA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-05-01,2,2
ICLA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-05-01,1,1
MONTEAGUDO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-05-01,3,3
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-05-01,6,6
SAN BENITO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-05-01,1,1
TRINIDAD,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-05-01,7,7
URIONDO (A. CONCEPCION),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-05-01,4,4
VILLA VACA GUZMAN (MUYUPAMPA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-05-01,1,1
EL ALTO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-06-01,2,2
INCAHUASI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-06-01,1,1
PADCAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-06-01,1,1
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-06-01,4,4
POTOSI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-06-01,1,1
PUNATA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-06-01,1,1
RIBERALTA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-06-01,2,2
SAN JULIAN,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-06-01,2,2
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-06-01,1,1
BUENA VISTA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-07-01,1,1
EL PUENTE(TJA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-07-01,1,1
ENTRE RIOS TRJ,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-07-01,1,1
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-07-01,13,13
VILLA MONTES,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-07-01,1,1
HUARACAJE,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-08-01,2,2
MONTEAGUDO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-08-01,1,1
PADCAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-08-01,3,3
PALOS BLANCOS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-08-01,1,1
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-08-01,2,2
PADCAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-09-01,2,2
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-09-01,4,4
PRESTO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-09-01,1,1
PUNATA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-09-01,1,1
RIBERALTA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-09-01,1,1
SAN LORENZO(TJA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-09-01,1,1
SAN LUCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-09-01,1,1
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-09-01,1,1
TARIJA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-09-01,7,7
TOTORA(ORR),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-09-01,1,1
URIONDO (A. CONCEPCION),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-09-01,1,1
COTAGAITA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-10-01,1,1
INCAHUASI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-10-01,1,1
PADCAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-10-01,1,1
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-10-01,5,5
SAN JUAN DE YAPACANI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-10-01,1,1
SAN JULIAN,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-10-01,3,3
TOTORA(ORR),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-10-01,10,10
CHUQUIHUTA AYLLU JUCUMANI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-11-01,1,1
COMARAPA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-11-01,1,1
EL PUENTE(TJA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-11-01,1,1
EL VILLAR,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-11-01,1,1
QUILLACOLLO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-11-01,1,1
SAN JULIAN,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-11-01,3,3
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-11-01,1,1
TARIJA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-11-01,1,1
TOTORA(ORR),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-11-01,18,18
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-11-01,1,1
COMARAPA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-12-01,1,1
EL ALTO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-12-01,1,1
PADCAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-12-01,2,2
PALOS BLANCOS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-12-01,1,1
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-12-01,5,5
SAN JULIAN,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-12-01,2,2
SUCRE,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-12-01,1,1
TARVITA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-12-01,2,2
TOTORA(ORR),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-12-01,15,15
VILLA VACA GUZMAN (MUYUPAMPA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2021-12-01,1,1
