municipality,group,variable,month,Nacidos vivos con peso menor a 2500g,TOTAL
AIQUILE,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,3,3
ASCENCION DE GUARAYOS,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,6,6
ATOCHA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,2,2
BERMEJO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,3,3
BETANZOS,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,1,1
CAMARGO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,3,3
CAMIRI,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,2,2
CARANAVI,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,3,3
CHARAGUA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,3,3
CHAYANTA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,1,1
CLIZA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,2,2
COBIJA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,3,3
COCHABAMBA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,70,70
COPACABANA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,1,1
COTOCA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,1,1
CUATRO CAÑADAS,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,1,1
CUEVO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,1,1
EL ALTO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,34,34
ENTRE RIOS,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,1,1
EUCALIPTUS,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,1,1
FERNANDEZ ALONSO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,2,2
GUAYARAMERIN,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,9,9
HUAYLLAMARCA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,1,1
LA PAZ,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,114,114
LLALLAGUA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,5,5
MAGDALENA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,1,1
MAPIRI,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,1,1
MONTEAGUDO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,3,3
MONTERO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,12,12
MOROCHATA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,1,1
ORURO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,28,28
PADCAYA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,1,1
PAILON,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,3,3
PALOS BLANCOS,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,3,3
POCOATA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,1,1
POTOSI,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,38,38
PUERTO SUAREZ,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,2,2
PUERTO VILLARROEL,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,4,4
PUNATA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,5,5
QUILLACOLLO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,4,4
REYES,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,2,2
RIBERALTA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,6,6
ROBORE,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,1,1
SACACA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,1,1
SAMAIPATA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,1,1
SAN BORJA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,3,3
SAN IGNACIO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,2,2
SAN IGNACIO DE VELASCO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,6,6
SAN JUAN DE YAPACANI,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,1,1
SAN LORENZO(PND),atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,6,6
SAN MIGUEL DE VELASCO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,2,2
SANTA ANA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,123,123
SANTA ROSA DEL SARA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,3,3
SICA SICA (VILLA AROMA),atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,3,3
SUCRE,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,27,27
TARABUCO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,1,1
TARIJA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,17,17
TIRAQUE (CBBA),atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,3,3
TOMINA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2005-01-01,2,2
