municipality,group,variable,month,N°de visitas familiares planificadas,TOTAL
ACHACACHI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2022-01-01,211,211
ACHOCALLA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2022-01-01,40,40
AIQUILE,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2022-01-01,162,162
ALALAY,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2022-01-01,32,32
ALCALA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2022-01-01,65,65
ALTO BENI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2022-01-01,28,28
ANDAMARCA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2022-01-01,64,64
ANTEQUERA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2022-01-01,10,10
ANZALDO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2022-01-01,220,220
APOLO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2022-01-01,59,59
ARAMPAMPA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2022-01-01,46,46
ARANI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2022-01-01,57,57
ARBIETO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2022-01-01,31,31
ATOCHA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2022-01-01,200,200
AYATA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2022-01-01,15,15
AYO AYO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2022-01-01,130,130
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2022-01-01,210,210
AZURDUY,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2022-01-01,179,179
BATALLAS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2022-01-01,35,35
BAURES,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2022-01-01,20,20
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2022-01-01,87,87
BELEN DE URMIRI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2022-01-01,38,38
