municipality,group,variable,month,N°de beneficiarios(as) (niño/as) con educación en Salud Oral,TOTAL
ACHACACHI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,21,21
ACHOCALLA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,164,164
ALCALA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,27,27
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,138,138
AYO AYO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,5,5
BETANZOS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,9,9
BOLPEBRA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,5,5
CABEZAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,58,58
CAJUATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,18,18
CALAMARCA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,5,5
CAMARGO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,25,25
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,2,2
CARMEN RIVERO TORREZ,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,27,27
COBIJA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,142,142
COCHABAMBA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,18,18
"COLCHA ""K""",actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,5,5
CULPINA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,25,25
CURVA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,6,6
EL ALTO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,541,541
EL TORNO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,9,9
FILADELFIA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,16,16
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,3,3
HUARINA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,12,12
ICLA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,34,34
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,4,4
LA PAZ,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,121,121
LAS CARRERAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,10,10
LURIBAY,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,70,70
MACHARETI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,20,20
MECAPACA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,14,14
MOJOCOYA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,28,28
MONTEAGUDO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,97,97
MONTERO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,65,65
ORURO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,104,104
PADILLA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,7,7
PALOS BLANCOS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,62,62
POCONA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,16,16
POOPO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,3,3
POROMA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,31,31
PORONGO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,39,39
POTOSI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,16,16
PRESTO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,42,42
PUERTO ACOSTA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,3,3
PUERTO GONZALO MORENO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,36,36
PUERTO RICO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,75,75
PUNATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,2,2
RIBERALTA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,64,64
RURRENABAQUE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,11,11
SACABA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,22,22
SALINAS DE GARCI MENDOZA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,16,16
SAN BORJA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,83,83
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,78,78
SAN JUAN DE YAPACANI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,58,58
SAN LUCAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,75,75
SAN MIGUEL DE VELASCO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,23,23
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,1,1
SAN PEDRO DE MACHA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,73,73
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,1559,1559
SANTIAGO DE HUARI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,5,5
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,15,15
SOPACHUY,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,21,21
SORATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,65,65
SUCRE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,608,608
TARABUCO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2022-01-01,87,87
