municipality,group,variable,month,N° de CAI de establecimiento,TOTAL
ACACIO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,1,1
ACHACACHI,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,6,6
ACHOCALLA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,9,9
AIQUILE,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,1,1
ALTO BENI,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,1,1
ANCORAIMES,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,3,3
ANDAMARCA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,3,3
APOLO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,2,2
ATOCHA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,6,6
AYATA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,3,3
AYO AYO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,1,1
BATALLAS,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,4,4
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,1,1
BETANZOS,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,25,25
CAIROMA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,2,2
"CAIZA ""D""",actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,10,10
CAJUATA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,1,1
CALAMARCA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,6,6
CAMIRI,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,1,1
CAPINOTA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,1,1
CHALLAPATA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,1,1
CHUMA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,7,7
CKOCHAS,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,5,5
COCHABAMBA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,5,5
COLLANA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,3,3
COLQUENCHA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,1,1
COMARAPA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,1,1
COMBAYA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,1,1
COROICO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,2,2
CORQUE,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,1,1
COTAGAITA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,1,1
COTOCA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,11,11
CURVA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,2,2
DESAGUADERO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,33,33
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,1,1
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,7,7
GUAQUI,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,1,1
HUARINA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,2,2
INQUISIVI,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,3,3
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,4,4
LA ASUNTA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,1,1
LA GUARDIA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,5,5
LA PAZ,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,26,26
LAJA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,2,2
LLALLAGUA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,1,1
LLICA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,1,1
LURIBAY,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,7,7
MACHACAMARCA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,1,1
MALLA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,2,2
MOJINETE,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,1,1
MONTERO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,1,1
OCURI,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,1,1
PALCA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,8,8
PALOS BLANCOS,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,11,11
PAPEL PAMPA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,4,4
PATACAMAYA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,2,2
PELECHUCO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,4,4
POCOATA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,12,12
POOPO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,2,2
PORCO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,4,4
PORONGO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,2,2
POTOSI,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,1,1
PUCARANI,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,6,6
PUERTO ACOSTA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2022-01-01,1,1
