municipality,group,variable,month,Nº de Personas con Discapacidad atendidas en la comunidad,TOTAL
ACHACACHI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,2,2
ACHOCALLA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,6,6
ALALAY,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,1,1
ALCALA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,4,4
ANZALDO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,1,1
AYO AYO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,6,6
BELLA FLOR,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,2,2
BETANZOS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,6,6
BUENA VISTA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,1,1
CAIROMA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,1,1
CAPINOTA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,3,3
CARACOLLO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,2,2
CARAPARI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,7,7
CHACARILLA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,2,2
CHUMA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,5,5
COBIJA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,1,1
COCHABAMBA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,67,67
COLOMI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,3,3
COLQUIRI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,1,1
COMARAPA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,2,2
COROICO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,2,2
COTOCA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,10,10
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,1,1
CULPINA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,1,1
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,3,3
GUAQUI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,1,1
HUACARETA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,3,3
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,5,5
HUARINA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,1,1
ICLA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,1,1
INQUISIVI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,1,1
IXIAMAS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,2,2
MALLA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,1,1
MOCOMOCO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,1,1
MONTERO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,5,5
PADCAYA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,1,1
PAILON,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,2,2
PALCA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,6,6
PALOS BLANCOS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,4,4
POCOATA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,2,2
POROMA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,1,1
PORONGO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,2,2
PRESTO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,5,5
PUERTO CARABUCO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,1,1
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,1,1
PUNATA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,2,2
QUILLACOLLO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,1,1
SACABA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,1,1
SACABAMBA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,1,1
SAN BORJA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,46,46
SAN IGNACIO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,1,1
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,54,54
SAN JAVIER(BNI),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,1,1
SAN LUCAS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,2,2
SAN MATIAS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,1,1
SAN PEDRO DE MACHA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,4,4
SAN PEDRO DE TIQUINA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,2,2
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,3,3
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,3,3
SANTIAGO DE MACHACA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,1,1
SOPACHUY,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,4,4
SUCRE,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,9,9
TACACOMA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,1,1
TARATA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,2,2
TARIJA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,1,1
TIAHUANACU,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,4,4
TIRAQUE (CBBA),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,2,2
TOMINA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,1,1
TUPIZA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,3,3
VALLEGRANDE,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,1,1
VIACHA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,2,2
VILLA SERRANO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,8,8
VILLA TUNARI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,8,8
WARNES,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,1,1
YACUIBA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,6,6
YAMPARAEZ,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-01-01,1,1
ACHACACHI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-02-01,4,4
ACHOCALLA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-02-01,7,7
ALCALA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-02-01,2,2
ANZALDO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-02-01,2,2
AYATA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-02-01,1,1
AYO AYO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-02-01,3,3
BETANZOS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-02-01,2,2
CABEZAS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-02-01,3,3
CARANAVI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-02-01,1,1
CARAPARI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-02-01,20,20
CHAQUI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-02-01,1,1
CHULUMANI (V. DE LA LIBERTAD),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-02-01,1,1
CHUMA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-02-01,4,4
COBIJA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-02-01,1,1
COCHABAMBA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-02-01,3,3
COLCAPIRHUA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-02-01,4,4
CORO CORO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-02-01,2,2
COROICO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-02-01,8,8
COTAGAITA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-02-01,1,1
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-02-01,2,2
CULPINA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-02-01,2,2
CURVA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-02-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-02-01,8,8
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-02-01,2,2
ENTRE RIOS TRJ,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-02-01,4,4
ENTRE RIOS CBBA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-02-01,10,10
GUANAY,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-02-01,1,1
HUACARETA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-02-01,4,4
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-02-01,2,2
ICLA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-02-01,1,1
INQUISIVI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-02-01,1,1
IXIAMAS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-02-01,1,1
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2022-02-01,2,2
