municipality,group,variable,month,Nº de comunidades que participaron en el CAI de establecimiento,TOTAL
ACHACACHI,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,5,5
ACHOCALLA,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,9,9
ALTO BENI,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,1,1
ANCORAIMES,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,9,9
APOLO,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,2,2
ATOCHA,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,3,3
AYATA,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,8,8
AYO AYO,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,10,10
BATALLAS,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,8,8
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,7,7
BETANZOS,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,69,69
"CAIZA ""D""",actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,18,18
CALAMARCA,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,8,8
CHUMA,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,11,11
CKOCHAS,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,22,22
COLLANA,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,3,3
COLQUENCHA,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,3,3
COROICO,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,10,10
CORQUE,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,1,1
COTOCA,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,12,12
CURVA,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,2,2
DESAGUADERO,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,4,4
EL ALTO,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,30,30
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,7,7
GUAQUI,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,2,2
HUARINA,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,11,11
INQUISIVI,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,7,7
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,5,5
LA PAZ,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,17,17
LAJA,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,2,2
LLALLAGUA,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,3,3
LURIBAY,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,4,4
MALLA,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,1,1
MOJINETE,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,3,3
OCURI,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,11,11
PALCA,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,7,7
PALOS BLANCOS,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,19,19
PAPEL PAMPA,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,16,16
PATACAMAYA,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,9,9
PELECHUCO,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,4,4
POCOATA,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,28,28
PORCO,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,6,6
POTOSI,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,1,1
PUCARANI,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,15,15
PUNA,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,15,15
QUILLACOLLO,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,5,5
QUIME,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,1,1
RIBERALTA,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,2,2
SACACA,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,2,2
SALINAS DE GARCI MENDOZA,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,3,3
SAN ANDRES DE MACHACA,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,1,1
SAN ANTONIO DE ESMORUCO,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,11,11
SAN BORJA,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,1,1
SAN JULIAN,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,2,2
SAN PABLO DE LIPEZ,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,8,8
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,60,60
SAN PEDRO DE TIQUINA,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,6,6
SANTA ANA,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,7,7
SANTIAGO DE CALLAPA,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,1,1
SAPAHAQUI,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,3,3
SORATA,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,21,21
TARVITA,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,3,3
TIAHUANACU,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,6,6
TITO YUPANQUI (PARQUIPUJIO),actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,3,3
TOLEDO,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,1,1
TUPIZA,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,28,28
TURCO,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,1,1
UMALA,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,8,8
UNCIA,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,3,3
UYUNI,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,1,1
VIACHA,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,23,23
WALDO BALLIVIAN,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,1,1
WARNES,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,12,12
YACO,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,9,9
YOCALLA,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-01-01,2,2
ACHACACHI,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-02-01,6,6
ACHOCALLA,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-02-01,10,10
ANCORAIMES,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-02-01,12,12
ANDAMARCA,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-02-01,8,8
ANTEQUERA,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-02-01,3,3
APOLO,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-02-01,2,2
ARAMPAMPA,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-02-01,2,2
ARQUE,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-02-01,61,61
AUCAPATA,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-02-01,1,1
AYATA,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-02-01,3,3
AYO AYO,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-02-01,12,12
BATALLAS,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-02-01,5,5
BETANZOS,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-02-01,68,68
BUENA VISTA,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-02-01,1,1
CAIROMA,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-02-01,2,2
"CAIZA ""D""",actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-02-01,20,20
CALACOTO,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-02-01,4,4
CALAMARCA,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-02-01,12,12
CAQUIAVIRI,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-02-01,3,3
CARANAVI,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-02-01,3,3
CHAYANTA,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-02-01,3,3
CHUMA,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2022-02-01,11,11
