municipality,group,variable,month,Nº de actividades educativas en Salud,TOTAL
ACACIO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,1,1
ACHACACHI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,17,17
ACHOCALLA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,66,66
AIQUILE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,32,32
ALALAY,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,3,3
ALCALA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,19,19
ALTO BENI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,1,1
ANCORAIMES,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,1,1
ANDAMARCA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,22,22
ANTEQUERA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,1,1
ANZALDO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,29,29
APOLO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,1,1
ARAMPAMPA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,9,9
ARANI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,2,2
ARBIETO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,1,1
ARQUE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,1,1
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,3,3
ATOCHA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,5,5
AUCAPATA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,1,1
AYO AYO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,6,6
AZURDUY,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,28,28
BATALLAS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,4,4
BAURES,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,1,1
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,17,17
BERMEJO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,6,6
BETANZOS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,67,67
BOLIVAR,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,3,3
CABEZAS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,10,10
CAIROMA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,11,11
"CAIZA ""D""",actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,21,21
CAJUATA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,23,23
CALAMARCA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,9,9
CAMARGO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,41,41
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,14,14
CAMIRI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,7,7
CAPINOTA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,11,11
CAQUIAVIRI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,29,29
CARACOLLO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,17,17
CARANAVI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,15,15
CARAPARI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,23,23
CARIPUYO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,20,20
CARMEN RIVERO TORREZ,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,5,5
CHACARILLA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,4,4
CHALLAPATA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,82,82
CHAQUI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,16,16
CHARAGUA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,19,19
CHARAÑA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,4,4
CHAYANTA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,12,12
CHIMORE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,53,53
CHOQUE COTA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,6,6
CHUMA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,1,1
CHUQUIHUTA AYLLU JUCUMANI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,23,23
CKOCHAS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,12,12
CLIZA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,16,16
COBIJA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,34,34
COCHABAMBA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,66,66
COIPASA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,1,1
COLCAPIRHUA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,33,33
"COLCHA ""K""",actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,6,6
COLOMI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,7,7
COLQUECHACA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,28,28
COLQUENCHA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,4,4
COLQUIRI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,36,36
COMANCHE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,3,3
COMARAPA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,51,51
COMBAYA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,24,24
CONCEPCION,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,1,1
COPACABANA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,11,11
CORO CORO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,11,11
COROICO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,1,1
CORQUE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,21,21
COTAGAITA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,41,41
COTOCA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,3,3
CUCHUMUELA (V. G. VILLARROEL),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,3,3
CUEVO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,7,7
CULPINA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2022-01-01,36,36
