municipality,group,variable,month,Nº de visitas familiares realizadas,TOTAL
ACACIO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2022-01-01,122,122
ACHACACHI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2022-01-01,220,220
ACHOCALLA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2022-01-01,32,32
AIQUILE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2022-01-01,129,129
ALALAY,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2022-01-01,61,61
ALCALA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2022-01-01,65,65
ALTO BENI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2022-01-01,41,41
ANCORAIMES,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2022-01-01,27,27
ANDAMARCA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2022-01-01,149,149
ANTEQUERA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2022-01-01,35,35
ANZALDO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2022-01-01,246,246
APOLO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2022-01-01,60,60
ARAMPAMPA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2022-01-01,57,57
ARANI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2022-01-01,106,106
ARBIETO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2022-01-01,43,43
ARQUE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2022-01-01,31,31
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2022-01-01,20,20
ATOCHA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2022-01-01,239,239
AUCAPATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2022-01-01,3,3
AYATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2022-01-01,18,18
AYO AYO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2022-01-01,128,128
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2022-01-01,194,194
AZURDUY,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2022-01-01,179,179
BATALLAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2022-01-01,36,36
BAURES,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2022-01-01,26,26
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2022-01-01,143,143
BELEN DE URMIRI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2022-01-01,105,105
BELLA FLOR,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2022-01-01,53,53
