municipality,group,variable,month,Días camas disponibles maternidad,TOTAL
ACACIO,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,93,93
ACHACACHI,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,186,186
ACHOCALLA,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,31,31
AIQUILE,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,434,434
ALCALA,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,124,124
ALTO BENI,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,155,155
ANCORAIMES,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,31,31
ANTEQUERA,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,31,31
ANZALDO,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,31,31
APOLO,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,124,124
ARANI,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,247,247
ARBIETO,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,31,31
ARQUE,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,372,372
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,434,434
ATOCHA,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,428,428
AYO AYO,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,93,93
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas disponibles maternidad,2019-01-01,882,882
AZURDUY,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,289,289
BATALLAS,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,93,93
BAURES,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,62,62
BELEN DE ANDAMARCA,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,61,61
BERMEJO,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,372,372
BETANZOS,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,124,124
BOLIVAR,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,155,155
BOYUIBE,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,124,124
BUENA VISTA,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,205,205
CABEZAS,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,120,120
"CAIZA ""D""",internaciones dias camas,dias camas disponibles maternidad,2019-01-01,93,93
CAJUATA,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,155,155
CALAMARCA,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,123,123
CAMARGO,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,217,217
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,dias camas disponibles maternidad,2019-01-01,93,93
CAMIRI,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,612,612
CAPINOTA,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,310,310
CAQUIAVIRI,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,32,32
CARACOLLO,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,155,155
CARANAVI,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,558,558
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,140,140
CHALLAPATA,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,124,124
CHAQUI,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,246,246
CHARAGUA,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,496,496
CHAYANTA,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,62,62
CHIMORE,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,248,248
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,dias camas disponibles maternidad,2019-01-01,186,186
CHUMA,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,93,93
CHUQUIHUTA AYLLU JUCUMANI,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,87,87
CKOCHAS,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,217,217
CLIZA,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,341,341
COBIJA,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,1689,1689
COCAPATA,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,127,127
COCHABAMBA,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,12019,12019
COLCAPIRHUA,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,682,682
COLLANA,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,31,31
COLOMI,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,527,527
COLQUECHACA,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,544,544
COLQUENCHA,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,31,31
COLQUIRI,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,93,93
COMARAPA,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,186,186
COMBAYA,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,1,1
CONCEPCION,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,93,93
COPACABANA,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,155,155
CORIPATA,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,215,215
CORO CORO,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,93,93
COROICO,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,277,277
COTAGAITA,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,186,186
COTOCA,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,589,589
CUATRO CAÑADAS,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,402,402
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,dias camas disponibles maternidad,2019-01-01,62,62
CULPINA,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,186,186
CURAHUARA DE CARANGAS,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,155,155
DESAGUADERO,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,62,62
EL ALTO,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,9477,9477
EL PUENTE(STC),internaciones dias camas,dias camas disponibles maternidad,2019-01-01,186,186
EL TORNO,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,589,589
EL VILLAR,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,279,279
ENTRE RIOS TRJ,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,186,186
ENTRE RIOS CBBA,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,341,341
ESCOMA,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,31,31
EUCALIPTUS,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,124,124
FERNANDEZ ALONSO,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,155,155
FILADELFIA,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,120,120
GRAL. J.J. PEREZ (CHARAZANI),internaciones dias camas,dias camas disponibles maternidad,2019-01-01,93,93
GUANAY,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,155,155
GUAQUI,internaciones dias camas,dias camas disponibles maternidad,2019-01-01,3,3
