municipality,group,variable,month,Días camas ocupadas maternidad,TOTAL
ACACIO,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,4,4
ACHACACHI,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,50,50
ACHOCALLA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,3,3
AIQUILE,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,70,70
ALCALA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,1,1
ALTO BENI,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,10,10
ANCORAIMES,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,1,1
ANDAMARCA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,1,1
ANZALDO,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,1,1
APOLO,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,14,14
ARANI,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,4,4
ARBIETO,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,2,2
ARQUE,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,3,3
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,187,187
ATOCHA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,50,50
AYO AYO,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,60,60
AZURDUY,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,41,41
BATALLAS,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,3,3
BAURES,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,6,6
BELLA FLOR,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,2,2
BERMEJO,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,100,100
BETANZOS,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,25,25
BOYUIBE,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,6,6
BUENA VISTA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,15,15
CABEZAS,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,18,18
"CAIZA ""D""",internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,2,2
CAJUATA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,24,24
CALAMARCA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,3,3
CAMARGO,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,130,130
CAMIRI,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,352,352
CAPINOTA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,53,53
CAQUIAVIRI,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,3,3
CARACOLLO,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,31,31
CARANAVI,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,227,227
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,16,16
CHALLAPATA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,48,48
CHAQUI,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,4,4
CHARAGUA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,88,88
CHAYANTA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,15,15
CHIMORE,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,15,15
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,136,136
CHUMA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,4,4
CHUQUIHUTA AYLLU JUCUMANI,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,4,4
CKOCHAS,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,18,18
CLIZA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,90,90
COBIJA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,779,779
COCAPATA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,8,8
COCHABAMBA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,7660,7660
COLCAPIRHUA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,198,198
COLLANA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,2,2
COLOMI,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,56,56
COLPA BELGICA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,6,6
COLQUECHACA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,37,37
COLQUENCHA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,2,2
COLQUIRI,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,1,1
COMARAPA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,96,96
CONCEPCION,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,62,62
