municipality,group,variable,month,PCD referidas a Unidades de Calificación de Discapacidad.,TOTAL
ACHOCALLA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2019-01-01,1,1
BETANZOS,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2019-01-01,2,2
CARANAVI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2019-01-01,4,4
COCHABAMBA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2019-01-01,22,22
EL ALTO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2019-01-01,14,14
EL TORNO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2019-01-01,1,1
LA GUARDIA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2019-01-01,1,1
LA PAZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2019-01-01,4,4
MONTEAGUDO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2019-01-01,2,2
POTOSI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2019-01-01,1,1
RAVELO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2019-01-01,1,1
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2019-01-01,21,21
SUCRE,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2019-01-01,10,10
TARIJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2019-01-01,30,30
TRINIDAD,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2019-01-01,16,16
TUPIZA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2019-01-01,8,8
VACAS,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2019-01-01,1,1
VIACHA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2019-01-01,1,1
VILLA TUNARI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2019-01-01,1,1
YANACACHI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2019-01-01,21,21
ASCENCION DE GUARAYOS,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2019-02-01,2,2
CAMARGO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2019-02-01,1,1
COCHABAMBA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2019-02-01,27,27
COPACABANA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2019-02-01,1,1
EL ALTO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2019-02-01,13,13
EL TORNO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2019-02-01,34,34
LA PAZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2019-02-01,22,22
LAJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2019-02-01,1,1
MOJOCOYA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2019-02-01,1,1
MONTEAGUDO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2019-02-01,1,1
PAILON,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2019-02-01,3,3
ROBORE,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2019-02-01,40,40
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2019-02-01,2,2
SUCRE,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2019-02-01,4,4
TARIJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2019-02-01,171,171
TRINIDAD,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2019-02-01,4,4
YACUIBA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2019-02-01,1,1
YAPACANI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2019-02-01,5,5
ATOCHA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2019-03-01,35,35
