municipality,group,variable,month,Pacientes referidos del establecimiento a la medicina tradicional,TOTAL
AZURDUY,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-01-01,1,1
EL ALTO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-01-01,160,160
ICLA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-01-01,1,1
MONTEAGUDO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-01-01,9,9
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-01-01,24,24
SAIPINA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-01-01,3,3
SAN LUCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-01-01,6,6
SUCRE,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-01-01,5,5
TARVITA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-01-01,6,6
TRINIDAD,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-01-01,3,3
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-01-01,12,12
YACUIBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-01-01,5,5
ALALAY,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-02-01,1,1
CARAPARI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-02-01,1,1
EL ALTO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-02-01,178,178
EL PUENTE(TJA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-02-01,2,2
HUACAYA (VILLA DE HUACAYA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-02-01,1,1
MONTEAGUDO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-02-01,7,7
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-02-01,4,4
SUCRE,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-02-01,1,1
TARIJA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-02-01,2,2
TARVITA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-02-01,5,5
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-02-01,32,32
YACUIBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-02-01,14,14
BERMEJO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-03-01,1,1
CARMEN RIVERO TORREZ,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-03-01,1,1
COCHABAMBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-03-01,1,1
EL ALTO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-03-01,111,111
INCAHUASI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-03-01,2,2
MONTEAGUDO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-03-01,1,1
PADCAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-03-01,1,1
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-03-01,23,23
SOPACHUY,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-03-01,1,1
SUCRE,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-03-01,2,2
TARIJA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-03-01,3,3
TARVITA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-03-01,2,2
TOMINA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-03-01,1,1
UNCIA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-03-01,1,1
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-03-01,15,15
VILLA SERRANO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-03-01,1,1
YACUIBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-03-01,3,3
CAMIRI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-04-01,1,1
EL ALTO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-04-01,110,110
EL VILLAR,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-04-01,6,6
HUACARETA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-04-01,1,1
HUACAYA (VILLA DE HUACAYA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-04-01,4,4
MONTEAGUDO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-04-01,2,2
PADCAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-04-01,2,2
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-04-01,26,26
SAN LUCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-04-01,48,48
TACOPAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-04-01,1,1
TARVITA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-04-01,4,4
TRINIDAD,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-04-01,2,2
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-04-01,24,24
YACUIBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-04-01,1,1
COCHABAMBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-05-01,1,1
EL ALTO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-05-01,102,102
HUACARETA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-05-01,1,1
MONTEAGUDO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-05-01,8,8
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-05-01,22,22
SAN ANTONIO DE LOMERIO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-05-01,1,1
TARIJA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-05-01,5,5
TOMINA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-05-01,1,1
TRINIDAD,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-05-01,9,9
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-05-01,8,8
EL ALTO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-06-01,112,112
EL PUENTE(TJA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-06-01,1,1
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-06-01,24,24
SUCRE,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-06-01,4,4
TARVITA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-06-01,1,1
TOMINA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-06-01,1,1
TRINIDAD,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-06-01,14,14
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-06-01,9,9
VILLA SERRANO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-06-01,1,1
VILLAZON,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-06-01,1,1
BUENA VISTA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-07-01,1,1
EL ALTO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-07-01,4,4
MONTEAGUDO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-07-01,5,5
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-07-01,16,16
QUILLACOLLO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-07-01,1,1
SAN LUCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-07-01,2,2
SUCRE,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-07-01,8,8
TARVITA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-07-01,5,5
TRINIDAD,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-07-01,5,5
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-07-01,13,13
YACUIBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-07-01,1,1
BERMEJO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-08-01,1,1
COCHABAMBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-08-01,1,1
EL ALTO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-08-01,16,16
PALOS BLANCOS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-08-01,2,2
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-08-01,16,16
SAN JULIAN,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-08-01,3,3
SORATA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-08-01,0,0
SUCRE,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-08-01,2,2
TARVITA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-08-01,4,4
TRINIDAD,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-08-01,4,4
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-08-01,14,14
CAMIRI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-09-01,2,2
COCHABAMBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-09-01,1,1
EL ALTO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-09-01,15,15
INCAHUASI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-09-01,2,2
PADCAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-09-01,3,3
PAMPA GRANDE,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-09-01,1,1
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-09-01,11,11
SAN IGNACIO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-09-01,1,1
TARVITA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-09-01,3,3
TRINIDAD,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-09-01,1,1
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-09-01,9,9
CAMATAQUI (C. VILLA ABECIA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-10-01,1,1
COTAGAITA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-10-01,1,1
EL ALTO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-10-01,65,65
EL PUENTE(TJA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-10-01,1,1
MACHARETI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-10-01,1,1
MONTEAGUDO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-10-01,2,2
PADCAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-10-01,5,5
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-10-01,23,23
SAN LUCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-10-01,1,1
SUCRE,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-10-01,5,5
TARVITA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-10-01,1,1
TRINIDAD,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-10-01,14,14
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-10-01,7,7
YACUIBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-10-01,3,3
CHUQUIHUTA AYLLU JUCUMANI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-11-01,1,1
COCHABAMBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-11-01,1,1
EL ALTO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-11-01,50,50
