municipality,group,variable,month,Pacientes contrareferidos al establecimiento,TOTAL
AIQUILE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,4,4
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,18,18
ATOCHA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,1,1
BERMEJO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,9,9
BETANZOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,1,1
BOYUIBE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,1,1
BUENA VISTA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,3,3
CAMIRI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,13,13
CAPINOTA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,1,1
CARANAVI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,1,1
CLIZA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,1,1
COBIJA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,33,33
COCHABAMBA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,318,318
COTOCA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,7,7
CULPINA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,1,1
EL ALTO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,389,389
EL PUENTE(STC),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,2,2
EL TORNO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,42,42
EL VILLAR,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,1,1
EUREKA (SANTOS MERCADO),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,1,1
INCAHUASI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,2,2
JESUS DE MACHACA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,2,2
LA GUARDIA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,1,1
LA PAZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,1761,1761
LAS CARRERAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,4,4
MAIRANA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,2,2
MINEROS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,3,3
MONTERO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,65,65
ORURO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,73,73
PAILON,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,1,1
PALOS BLANCOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,1,1
PUERTO GONZALO MORENO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,1,1
PUERTO QUIJARRO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,1,1
PUNATA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,17,17
QUILLACOLLO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,104,104
QUIRUSILLAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,1,1
RIBERALTA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,23,23
ROBORE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,1,1
RURRENABAQUE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,1,1
SACABA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,22,22
SAIPINA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,1,1
SAN CARLOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,4,4
SAN JOSE DE CHIQUITOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,1,1
SAN JULIAN,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,1,1
SAN LUCAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,5,5
SAN MIGUEL DE VELASCO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,7,7
SAN PEDRO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,1,1
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,1131,1131
SENA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,3,3
SOPACHUY,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,7,7
SUCRE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,220,220
TARIJA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,41,41
TARVITA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,2,2
TEOPONTE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,1,1
TIRAQUE (CBBA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,1,1
TOLATA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,1,1
TOMINA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,2,2
TRINIDAD,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,42,42
TUPIZA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,8,8
URUBICHA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,2,2
VALLEGRANDE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,1,1
VILLA MONTES,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,2,2
VILLA RIVERO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,1,1
VILLAZON,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,7,7
WARNES,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,56,56
YACUIBA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2019-01-01,1,1
