municipality,group,variable,month,Pacientes derivados de la comunidad o medicina tradicional,TOTAL
ALCALA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-01-01,1,1
BERMEJO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-01-01,1,1
CAMARGO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-01-01,1,1
COCHABAMBA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-01-01,3,3
CULPINA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-01-01,6,6
EL ALTO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-01-01,2,2
EL VILLAR,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-01-01,7,7
HUACARETA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-01-01,20,20
HUACAYA (VILLA DE HUACAYA),refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-01-01,8,8
ICLA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-01-01,8,8
LAS CARRERAS,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-01-01,12,12
MOJOCOYA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-01-01,5,5
MONTEAGUDO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-01-01,50,50
ORURO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-01-01,1,1
PADILLA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-01-01,32,32
POROMA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-01-01,23,23
PRESTO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-01-01,17,17
SAN LUCAS,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-01-01,409,409
SAN RAFAEL,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-01-01,2,2
SOPACHUY,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-01-01,1,1
SUCRE,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-01-01,93,93
TARABUCO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-01-01,22,22
TARIJA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-01-01,5,5
TARVITA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-01-01,48,48
TOMINA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-01-01,7,7
TRINIDAD,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-01-01,33,33
VILLA CHARCAS,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-01-01,6,6
VILLA VACA GUZMAN (MUYUPAMPA),refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-01-01,6,6
YAMPARAEZ,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-01-01,17,17
YOTALA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-01-01,3,3
YUNCHARA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-01-01,1,1
ZUDAÑEZ,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-01-01,13,13
ALCALA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-02-01,17,17
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-02-01,15,15
AZURDUY,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-02-01,8,8
BERMEJO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-02-01,1,1
CARMEN RIVERO TORREZ,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-02-01,1,1
COCHABAMBA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-02-01,1,1
CULPINA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-02-01,6,6
EL VILLAR,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-02-01,19,19
HUACAYA (VILLA DE HUACAYA),refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-02-01,32,32
ICLA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-02-01,9,9
LAS CARRERAS,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-02-01,37,37
MACHARETI,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-02-01,2,2
MOJOCOYA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-02-01,6,6
MONTEAGUDO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-02-01,73,73
PADCAYA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-02-01,3,3
PADILLA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-02-01,3,3
POROMA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-02-01,18,18
PRESTO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-02-01,12,12
SAN BORJA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-02-01,1,1
SAN LUCAS,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-02-01,21,21
SAN RAFAEL,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-02-01,1,1
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-02-01,6,6
SUCRE,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-02-01,173,173
TARABUCO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-02-01,12,12
TARIJA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-02-01,1,1
TARVITA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-02-01,53,53
TOMINA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-02-01,17,17
VALLEGRANDE,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-02-01,11,11
VILLA CHARCAS,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2019-02-01,13,13
