municipality,group,variable,month,Pacientes referidos a otros establecimientos,TOTAL
ACACIO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2019-01-01,2,2
ACHACACHI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2019-01-01,99,99
ACHOCALLA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2019-01-01,17,17
AIQUILE,refencias y contrareferencias,pacientes referidos a otros establecimientos,2019-01-01,74,74
ALALAY,refencias y contrareferencias,pacientes referidos a otros establecimientos,2019-01-01,6,6
ALCALA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2019-01-01,4,4
ANCORAIMES,refencias y contrareferencias,pacientes referidos a otros establecimientos,2019-01-01,8,8
ANDAMARCA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2019-01-01,7,7
ANTEQUERA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2019-01-01,3,3
ANZALDO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2019-01-01,9,9
APOLO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2019-01-01,5,5
ARAMPAMPA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2019-01-01,1,1
ARANI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2019-01-01,1,1
ARBIETO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2019-01-01,17,17
ARQUE,refencias y contrareferencias,pacientes referidos a otros establecimientos,2019-01-01,1,1
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes referidos a otros establecimientos,2019-01-01,36,36
ATOCHA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2019-01-01,255,255
AUCAPATA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2019-01-01,1,1
AYATA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2019-01-01,2,2
AYO AYO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2019-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),refencias y contrareferencias,pacientes referidos a otros establecimientos,2019-01-01,36,36
AZURDUY,refencias y contrareferencias,pacientes referidos a otros establecimientos,2019-01-01,2,2
BATALLAS,refencias y contrareferencias,pacientes referidos a otros establecimientos,2019-01-01,27,27
BAURES,refencias y contrareferencias,pacientes referidos a otros establecimientos,2019-01-01,14,14
BELEN DE URMIRI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2019-01-01,4,4
BELLA FLOR,refencias y contrareferencias,pacientes referidos a otros establecimientos,2019-01-01,11,11
BERMEJO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2019-01-01,151,151
BETANZOS,refencias y contrareferencias,pacientes referidos a otros establecimientos,2019-01-01,43,43
BOLIVAR,refencias y contrareferencias,pacientes referidos a otros establecimientos,2019-01-01,3,3
BOLPEBRA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2019-01-01,3,3
