municipality,group,variable,month,Pacientes referidos recibidos por el establecimiento,TOTAL
ACACIO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,1,1
ACHACACHI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,51,51
AIQUILE,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,12,12
ANDAMARCA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,1,1
APOLO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,3,3
ARANI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,1,1
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,29,29
AUCAPATA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,5,5
AZURDUY,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,1,1
BELEN DE URMIRI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,2,2
BERMEJO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,14,14
BETANZOS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,1,1
CAIROMA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,2,2
"CAIZA ""D""",refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,1,1
CAJUATA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,4,4
CAMARGO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,52,52
CAMIRI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,221,221
CARACOLLO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,3,3
CARANAVI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,55,55
CARAPARI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,1,1
CHALLAPATA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,21,21
CHARAGUA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,33,33
CHARAÑA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,1,1
CHIMORE,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,12,12
CHIPAYA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,1,1
CHUA COCANI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,37,37
CHUQUIHUTA AYLLU JUCUMANI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,4,4
CLIZA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,37,37
COBIJA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,121,121
COCAPATA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,1,1
COCHABAMBA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,2959,2959
COLCAPIRHUA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,14,14
"COLCHA ""K""",refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,5,5
COLOMI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,2,2
COLQUECHACA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,1,1
COMARAPA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,22,22
CONCEPCION,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,6,6
COPACABANA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,1,1
COROICO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,88,88
CORQUE,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,1,1
COTAGAITA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,2,2
COTOCA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,25,25
CUATRO CAÑADAS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,46,46
CULPINA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,5,5
DESAGUADERO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,2,2
EL ALTO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,2588,2588
EL TORNO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,172,172
EL VILLAR,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,2,2
ENTRE RIOS TRJ,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,3,3
ENTRE RIOS CBBA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,3,3
FERNANDEZ ALONSO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,2,2
GENERAL SAAVEDRA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,5,5
GUANAY,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,2,2
GUAQUI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,2,2
GUTIERREZ,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,2,2
HUACARETA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,9,9
HUANUNI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,99,99
HUAYLLAMARCA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,1,1
INCAHUASI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,2,2
IRUPANA (VILLA DE LANZA),refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,7,7
IXIAMAS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,1,1
LA ASUNTA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,1,1
LA GUARDIA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,83,83
LA PAZ,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,7088,7088
LAGUNILLAS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,23,23
LAJA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,3,3
LAS CARRERAS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,1,1
LLALLAGUA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,49,49
LORETO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,1,1
LURIBAY,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,2,2
MACHARETI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,2,2
MAGDALENA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,5,5
MAIRANA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,20,20
MAPIRI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,1,1
MECAPACA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,9,9
MINEROS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,10,10
MIZQUE,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,10,10
MOCOMOCO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,1,1
MONTEAGUDO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,79,79
MONTERO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,1274,1274
MORO MORO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,1,1
OCURI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,5,5
OKINAWA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,1,1
OMEREQUE,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,1,1
ORURO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,729,729
PADCAYA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,1,1
PADILLA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,35,35
PAILON,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,6,6
PALOS BLANCOS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,2,2
PATACAMAYA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,3,3
POJO (CBBA),refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,2,2
POROMA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,2,2
PORONGO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,2,2
PORTACHUELO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,10,10
POSTRER VALLE,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2019-01-01,2,2
