municipality,group,variable,month,Cirugías medianas y mayores,TOTAL
AIQUILE,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,6,6
ASCENCION DE GUARAYOS,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,15,15
AYOPAYA (V. DE INDEPENDENCIA),cirugias y anestesias,cirugias medianas y mayores,2006-01-01,1,1
BAURES,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,2,2
BERMEJO,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,17,17
BETANZOS,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,2,2
CAMARGO,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,11,11
CAMIRI,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,48,48
CAPINOTA,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,3,3
CARANAVI,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,33,33
CHALLAPATA,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,7,7
CHARAGUA,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,15,15
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,cirugias medianas y mayores,2006-01-01,5,5
COBIJA,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,51,51
COCHABAMBA,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,2385,2385
COLCAPIRHUA,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,19,19
COMARAPA,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,9,9
CONCEPCION,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,6,6
COPACABANA,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,4,4
COROICO,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,12,12
COTOCA,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,6,6
EL ALTO,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,682,682
EL TORNO,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,14,14
GUAYARAMERIN,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,35,35
HUANUNI,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,4,4
LA PAZ,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,3200,3200
LLALLAGUA,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,37,37
MAGDALENA,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,17,17
MAIRANA,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,19,19
MONTEAGUDO,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,15,15
MONTERO,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,193,193
ORURO,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,515,515
PADILLA,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,22,22
PATACAMAYA,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,10,10
PORTACHUELO,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,25,25
POTOSI,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,250,250
PUERTO ACOSTA,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,8,8
PUERTO QUIJARRO,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,1,1
PUERTO SUAREZ,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,21,21
PUERTO VILLARROEL,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,50,50
PUNATA,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,22,22
QUILLACOLLO,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,75,75
REYES,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,6,6
RIBERALTA,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,241,241
ROBORE,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,11,11
RURRENABAQUE,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,13,13
SACABA,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,76,76
SAN ANDRES,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,3,3
SAN BORJA,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,19,19
SAN CARLOS,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,22,22
SAN IGNACIO,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,1,1
SAN IGNACIO DE VELASCO,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,29,29
SAN JAVIER(STC),cirugias y anestesias,cirugias medianas y mayores,2006-01-01,2,2
SAN JOAQUIN,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,5,5
SAN JOSE DE CHIQUITOS,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,1,1
SAN JUAN DE YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,34,34
SAN JULIAN,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,14,14
SAN LORENZO(PND),cirugias y anestesias,cirugias medianas y mayores,2006-01-01,4,4
SAN LUCAS,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,20,20
SAN MATIAS,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,3,3
SAN RAMON,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,6,6
SAN RAMON,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,8,8
SANTA ANA,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,13,13
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,4223,4223
SANTA ROSA,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,1,1
SIPE SIPE,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,6,6
SOPACHUY,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,6,6
SUCRE,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,911,911
TARABUCO,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,3,3
TARIJA,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,467,467
TIQUIPAYA,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,2,2
TIRAQUE (CBBA),cirugias y anestesias,cirugias medianas y mayores,2006-01-01,18,18
TOTORA(CBBA),cirugias y anestesias,cirugias medianas y mayores,2006-01-01,2,2
TRINIDAD,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,195,195
TUPIZA,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,28,28
UNCIA,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,40,40
UYUNI,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,9,9
VALLEGRANDE,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,37,37
VILLA MONTES,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,22,22
VILLA TUNARI,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,28,28
VILLAZON,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,19,19
VINTO,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,3,3
WARNES,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,20,20
YACUIBA,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,95,95
YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,3,3
ZUDAÑEZ,cirugias y anestesias,cirugias medianas y mayores,2006-01-01,2,2
AIQUILE,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,16,16
ASCENCION DE GUARAYOS,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,21,21
ATOCHA,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),cirugias y anestesias,cirugias medianas y mayores,2006-02-01,3,3
BAURES,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,1,1
BERMEJO,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,18,18
CAMARGO,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,89,89
CAMIRI,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,66,66
CAPINOTA,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,5,5
CARANAVI,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,16,16
CHARAGUA,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,7,7
