municipality,group,variable,month,"Anestesias generales, locales o regionales",TOTAL
AIQUILE,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,6,6
ANCORAIMES,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,13,13
APOLO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,5,5
ASCENCION DE GUARAYOS,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,15,15
AYOPAYA (V. DE INDEPENDENCIA),cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,1,1
AZURDUY,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,3,3
BAURES,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,2,2
BERMEJO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,38,38
BETANZOS,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,25,25
CAIROMA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,2,2
CAJUATA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,6,6
CAMARGO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,144,144
CAMIRI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,48,48
CAPINOTA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,30,30
CARANAVI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,42,42
CHALLAPATA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,8,8
CHARAGUA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,15,15
CHIMORE,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,27,27
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,38,38
CLIZA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,8,8
COBIJA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,125,125
COCHABAMBA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,2723,2723
COLCAPIRHUA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,19,19
COLOMI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,1,1
COLQUIRI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,6,6
COMARAPA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,9,9
CONCEPCION,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,6,6
COPACABANA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,25,25
COROICO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,21,21
COTOCA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,6,6
CULPINA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,12,12
EL ALTO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,703,703
EL TORNO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,14,14
ENTRE RIOS,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,33,33
EUCALIPTUS,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,1,1
EXALTACION,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,2,2
GUAYARAMERIN,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,35,35
HUACARETA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,7,7
HUANUNI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,4,4
INCAHUASI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,2,2
INQUISIVI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,4,4
IRUPANA (VILLA DE LANZA),cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,8,8
