,group,variable,month,PERSONAS DE 5 A 9 AÑOS NUEVO,PERSONAS DE 5 A 9 AÑOS NUEVO,PERSONAS DE 5 A 9 AÑOS REPETIDO,PERSONAS DE 5 A 9 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 5 a 9 anos,2011-01-01,3,4,0,0,3,4,7
ACHACACHI,consulta externa,personas de 5 a 9 anos,2011-01-01,58,57,5,5,63,62,125
ACHOCALLA,consulta externa,personas de 5 a 9 anos,2011-01-01,7,16,1,0,8,16,24
AIQUILE,consulta externa,personas de 5 a 9 anos,2011-01-01,46,34,3,2,49,36,85
ALALAY,consulta externa,personas de 5 a 9 anos,2011-01-01,1,1,0,0,1,1,2
ALCALA,consulta externa,personas de 5 a 9 anos,2011-01-01,29,20,0,0,29,20,49
ALTO BENI,consulta externa,personas de 5 a 9 anos,2011-01-01,32,31,0,2,32,33,65
ANCORAIMES,consulta externa,personas de 5 a 9 anos,2011-01-01,2,8,0,0,2,8,10
ANDAMARCA,consulta externa,personas de 5 a 9 anos,2011-01-01,5,4,0,0,5,4,9
ANTEQUERA,consulta externa,personas de 5 a 9 anos,2011-01-01,18,23,0,0,18,23,41
ANZALDO,consulta externa,personas de 5 a 9 anos,2011-01-01,19,16,0,0,19,16,35
APOLO,consulta externa,personas de 5 a 9 anos,2011-01-01,37,22,3,2,40,24,64
ARAMPAMPA,consulta externa,personas de 5 a 9 anos,2011-01-01,2,6,0,0,2,6,8
ARANI,consulta externa,personas de 5 a 9 anos,2011-01-01,22,20,2,1,24,21,45
ARBIETO,consulta externa,personas de 5 a 9 anos,2011-01-01,21,15,0,3,21,18,39
ARQUE,consulta externa,personas de 5 a 9 anos,2011-01-01,5,12,0,1,5,13,18
ASCENCION DE GUARAYOS,consulta externa,personas de 5 a 9 anos,2011-01-01,111,44,2,3,113,47,160
ATOCHA,consulta externa,personas de 5 a 9 anos,2011-01-01,93,71,20,19,113,90,203
AUCAPATA,consulta externa,personas de 5 a 9 anos,2011-01-01,8,6,0,0,8,6,14
AYATA,consulta externa,personas de 5 a 9 anos,2011-01-01,16,18,0,0,16,18,34
AYO AYO,consulta externa,personas de 5 a 9 anos,2011-01-01,11,8,0,0,11,8,19
