,group,variable,month,PERSONAS DE 60 AÑOS Y MÁS NUEVO,PERSONAS DE 60 AÑOS Y MÁS NUEVO,PERSONAS DE 60 AÑOS Y MÁS REPETIDO,PERSONAS DE 60 AÑOS Y MÁS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 60 anos y mas,2011-01-01,26,40,5,6,31,46,77
ACHACACHI,consulta externa,personas de 60 anos y mas,2011-01-01,358,384,63,75,421,459,880
ACHOCALLA,consulta externa,personas de 60 anos y mas,2011-01-01,30,28,2,3,32,31,63
AIQUILE,consulta externa,personas de 60 anos y mas,2011-01-01,127,130,27,23,154,153,307
ALALAY,consulta externa,personas de 60 anos y mas,2011-01-01,8,6,0,1,8,7,15
ALCALA,consulta externa,personas de 60 anos y mas,2011-01-01,37,71,0,0,37,71,108
ALTO BENI,consulta externa,personas de 60 anos y mas,2011-01-01,43,22,8,2,51,24,75
ANCORAIMES,consulta externa,personas de 60 anos y mas,2011-01-01,108,138,10,10,118,148,266
ANDAMARCA,consulta externa,personas de 60 anos y mas,2011-01-01,37,32,2,3,39,35,74
ANTEQUERA,consulta externa,personas de 60 anos y mas,2011-01-01,30,40,2,2,32,42,74
ANZALDO,consulta externa,personas de 60 anos y mas,2011-01-01,44,63,7,10,51,73,124
APOLO,consulta externa,personas de 60 anos y mas,2011-01-01,50,60,6,8,56,68,124
ARAMPAMPA,consulta externa,personas de 60 anos y mas,2011-01-01,10,12,1,0,11,12,23
ARANI,consulta externa,personas de 60 anos y mas,2011-01-01,24,40,2,4,26,44,70
ARBIETO,consulta externa,personas de 60 anos y mas,2011-01-01,32,47,25,55,57,102,159
ARQUE,consulta externa,personas de 60 anos y mas,2011-01-01,24,33,1,7,25,40,65
ASCENCION DE GUARAYOS,consulta externa,personas de 60 anos y mas,2011-01-01,7,46,8,15,15,61,76
ATOCHA,consulta externa,personas de 60 anos y mas,2011-01-01,43,62,14,15,57,77,134
AUCAPATA,consulta externa,personas de 60 anos y mas,2011-01-01,11,17,2,0,13,17,30
AYATA,consulta externa,personas de 60 anos y mas,2011-01-01,20,35,1,1,21,36,57
AYO AYO,consulta externa,personas de 60 anos y mas,2011-01-01,86,86,6,2,92,88,180
