,group,variable,month,PERSONAS DE 21 A 59 AÑOS NUEVO,PERSONAS DE 21 A 59 AÑOS NUEVO,PERSONAS DE 21 A 59 AÑOS REPETIDO,PERSONAS DE 21 A 59 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 21 a 59 anos,2011-01-01,62,135,0,1,62,136,198
ACHACACHI,consulta externa,personas de 21 a 59 anos,2011-01-01,267,562,47,58,314,620,934
ACHOCALLA,consulta externa,personas de 21 a 59 anos,2011-01-01,40,103,5,7,45,110,155
AIQUILE,consulta externa,personas de 21 a 59 anos,2011-01-01,251,490,49,81,300,571,871
ALALAY,consulta externa,personas de 21 a 59 anos,2011-01-01,16,33,1,6,17,39,56
ALCALA,consulta externa,personas de 21 a 59 anos,2011-01-01,69,151,0,0,69,151,220
ALTO BENI,consulta externa,personas de 21 a 59 anos,2011-01-01,157,197,7,6,164,203,367
ANCORAIMES,consulta externa,personas de 21 a 59 anos,2011-01-01,35,127,4,6,39,133,172
ANDAMARCA,consulta externa,personas de 21 a 59 anos,2011-01-01,43,80,2,3,45,83,128
ANTEQUERA,consulta externa,personas de 21 a 59 anos,2011-01-01,48,22,0,1,48,23,71
ANZALDO,consulta externa,personas de 21 a 59 anos,2011-01-01,37,67,0,7,37,74,111
APOLO,consulta externa,personas de 21 a 59 anos,2011-01-01,69,148,4,8,73,156,229
ARAMPAMPA,consulta externa,personas de 21 a 59 anos,2011-01-01,29,89,1,2,30,91,121
ARANI,consulta externa,personas de 21 a 59 anos,2011-01-01,27,65,5,13,32,78,110
ARBIETO,consulta externa,personas de 21 a 59 anos,2011-01-01,49,145,12,47,61,192,253
ARQUE,consulta externa,personas de 21 a 59 anos,2011-01-01,57,242,0,3,57,245,302
ASCENCION DE GUARAYOS,consulta externa,personas de 21 a 59 anos,2011-01-01,81,137,5,4,86,141,227
ATOCHA,consulta externa,personas de 21 a 59 anos,2011-01-01,807,684,285,158,1092,842,1934
AUCAPATA,consulta externa,personas de 21 a 59 anos,2011-01-01,25,55,1,7,26,62,88
AYATA,consulta externa,personas de 21 a 59 anos,2011-01-01,48,109,1,4,49,113,162
AYO AYO,consulta externa,personas de 21 a 59 anos,2011-01-01,50,84,2,3,52,87,139
