,group,variable,month,PERSONAS DE 10 A 20 AÑOS NUEVO,PERSONAS DE 10 A 20 AÑOS NUEVO,PERSONAS DE 10 A 20 AÑOS REPETIDO,PERSONAS DE 10 A 20 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 10 a 20 anos,2011-01-01,14,25,1,0,15,25,40
ACHACACHI,consulta externa,personas de 10 a 20 anos,2011-01-01,119,157,10,21,129,178,307
ACHOCALLA,consulta externa,personas de 10 a 20 anos,2011-01-01,16,36,1,0,17,36,53
AIQUILE,consulta externa,personas de 10 a 20 anos,2011-01-01,82,131,8,15,90,146,236
ALALAY,consulta externa,personas de 10 a 20 anos,2011-01-01,5,7,0,1,5,8,13
ALCALA,consulta externa,personas de 10 a 20 anos,2011-01-01,30,52,0,0,30,52,82
ALTO BENI,consulta externa,personas de 10 a 20 anos,2011-01-01,46,74,0,0,46,74,120
ANCORAIMES,consulta externa,personas de 10 a 20 anos,2011-01-01,16,26,0,1,16,27,43
ANDAMARCA,consulta externa,personas de 10 a 20 anos,2011-01-01,5,25,1,0,6,25,31
ANTEQUERA,consulta externa,personas de 10 a 20 anos,2011-01-01,13,13,0,0,13,13,26
ANZALDO,consulta externa,personas de 10 a 20 anos,2011-01-01,12,21,0,0,12,21,33
APOLO,consulta externa,personas de 10 a 20 anos,2011-01-01,32,48,2,1,34,49,83
ARAMPAMPA,consulta externa,personas de 10 a 20 anos,2011-01-01,7,17,2,0,9,17,26
ARANI,consulta externa,personas de 10 a 20 anos,2011-01-01,21,18,1,4,22,22,44
ARBIETO,consulta externa,personas de 10 a 20 anos,2011-01-01,24,43,4,8,28,51,79
ARQUE,consulta externa,personas de 10 a 20 anos,2011-01-01,23,46,0,6,23,52,75
ASCENCION DE GUARAYOS,consulta externa,personas de 10 a 20 anos,2011-01-01,43,78,2,1,45,79,124
ATOCHA,consulta externa,personas de 10 a 20 anos,2011-01-01,214,264,60,61,274,325,599
AUCAPATA,consulta externa,personas de 10 a 20 anos,2011-01-01,14,9,0,0,14,9,23
AYATA,consulta externa,personas de 10 a 20 anos,2011-01-01,22,21,0,0,22,21,43
AYO AYO,consulta externa,personas de 10 a 20 anos,2011-01-01,15,27,1,2,16,29,45
