municipality,group,variable,month,Curaciones y/o suturas,TOTAL
ACACIO,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,30,30
ACHACACHI,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,158,158
ACHOCALLA,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,52,52
AIQUILE,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,208,208
ALALAY,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,10,10
ALCALA,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,18,18
ALTO BENI,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,91,91
ANCORAIMES,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,53,53
ANDAMARCA,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,48,48
ANTEQUERA,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,19,19
ANZALDO,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,37,37
APOLO,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,55,55
ARAMPAMPA,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,16,16
ARANI,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,101,101
ARBIETO,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,98,98
ARQUE,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,46,46
ASCENCION DE GUARAYOS,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,510,510
ATOCHA,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,463,463
AUCAPATA,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,12,12
AYATA,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,41,41
AYO AYO,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,25,25
AYOPAYA (V. DE INDEPENDENCIA),otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,106,106
AZURDUY,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,44,44
BATALLAS,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,67,67
BAURES,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,177,177
BELEN DE ANDAMARCA,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,12,12
BELEN DE URMIRI,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,6,6
BELLA FLOR,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,12,12
BERMEJO,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,2332,2332
BETANZOS,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,160,160
BOLIVAR,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,4,4
BOLPEBRA,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,12,12
BOYUIBE,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,29,29
BUENA VISTA,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,106,106
CABEZAS,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,101,101
CAIROMA,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,65,65
"CAIZA ""D""",otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,48,48
CAJUATA,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,43,43
CALACOTO,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,12,12
CALAMARCA,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,47,47
CAMARGO,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,67,67
CAMATAQUI (C. VILLA ABECIA),otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,22,22
CAMIRI,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,1218,1218
CAPINOTA,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,279,279
CAQUIAVIRI,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,52,52
CARACOLLO,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,172,172
CARANAVI,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,618,618
CARANGAS,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,4,4
CARAPARI,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,193,193
CARIPUYO,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,19,19
CARMEN RIVERO TORREZ,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,90,90
CATACORA,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,3,3
CHACARILLA,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,2,2
CHALLAPATA,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,398,398
CHAQUI,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,41,41
CHARAGUA,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,184,184
CHARAÑA,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,17,17
CHAYANTA,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,110,110
CHIMORE,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,414,414
CHIPAYA,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,2,2
CHOQUE COTA,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,11,11
CHUA COCANI,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,10,10
CHULUMANI (V. DE LA LIBERTAD),otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,134,134
CHUMA,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,51,51
CHUQUIHUTA AYLLU JUCUMANI,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,27,27
CKOCHAS,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,27,27
CLIZA,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,322,322
COBIJA,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,1586,1586
COCAPATA,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,15,15
COCHABAMBA,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,12046,12046
COIPASA,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,9,9
COLCAPIRHUA,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,597,597
"COLCHA ""K""",otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,43,43
COLLANA,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,18,18
COLOMI,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,157,157
COLPA BELGICA,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,199,199
COLQUECHACA,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,81,81
COLQUENCHA,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,66,66
COLQUIRI,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,130,130
COMANCHE,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,42,42
COMARAPA,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,140,140
COMBAYA,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,17,17
CONCEPCION,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,40,40
COPACABANA,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,44,44
CORIPATA,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,80,80
CORO CORO,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,38,38
COROICO,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,194,194
CORQUE,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,53,53
COTAGAITA,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,387,387
COTOCA,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,633,633
CRUZ DE MACHACAMARCA,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,3,3
CUATRO CAÑADAS,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,385,385
CUCHUMUELA (V. G. VILLARROEL),otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,4,4
CUEVO,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,28,28
CULPINA,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,71,71
CURAHUARA DE CARANGAS,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,15,15
CURVA,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,32,32
DESAGUADERO,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,69,69
EL ALTO,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,9535,9535
EL CHORO,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,24,24
EL PUENTE(STC),otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,60,60
EL PUENTE(TJA),otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,89,89
EL TORNO,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,1366,1366
EL VILLAR,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,20,20
ENTRE RIOS TRJ,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,322,322
ENTRE RIOS CBBA,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,328,328
ESCARA,otras actividades de enfermeria,curaciones y/o suturas,2013-01-01,2,2
