,group,variable,month,INFLUENZA ESTACIONAL DOSIS ÚNICA DENTRO,INFLUENZA ESTACIONAL DOSIS ÚNICA DENTRO,INFLUENZA ESTACIONAL DOSIS ÚNICA FUERA,INFLUENZA ESTACIONAL DOSIS ÚNICA FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,0,0,1,2,1,2,3
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,6,4,0,0,6,4,10
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,1,2,0,0,1,2,3
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,1,0,1,1,2,1,3
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,0,1,0,0,0,1,1
ARQUE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,2,2,0,0,2,2,4
ATOCHA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,7,2,0,2,7,4,11
AYO AYO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,1,2,3,1,4,3,7
AZURDUY,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,2,0,0,0,2,0,2
BATALLAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,6,3,0,2,6,5,11
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,0,1,0,0,0,1,1
BERMEJO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,2,1,0,0,2,1,3
BETANZOS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,8,4,0,1,8,5,13
CABEZAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,6,2,0,0,6,2,8
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,2,5,1,0,3,5,8
