,group,variable,month,PENTAVALENTE 2DA DOSIS DENTRO,PENTAVALENTE 2DA DOSIS DENTRO,PENTAVALENTE 2DA DOSIS FUERA,PENTAVALENTE 2DA DOSIS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,0,1,0,1,0,2,2
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,2,4,0,1,2,5,7
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,0,0,1,0,1,0,1
ANZALDO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,0,0,1,0,1,0,1
ARQUE,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,0,1,0,0,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,0,1,0,0,0,1,1
BERMEJO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,1,0,0,0,1,0,1
CAIROMA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,0,1,0,0,0,1,1
CALACOTO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,0,0,1,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,1,0,0,0,1,0,1
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,2,0,0,3,2,3,5
CLIZA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,0,0,0,1,0,1,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,0,1,0,0,0,1,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,9,10,1,0,10,10,20
COLOMI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,1,0,0,0,1,0,1
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,2,0,0,1,2,1,3
